4002070
/m/0bbzqd
/m/0bbzqd
Michael Moorcock
1971
{"/m/06n90": "Science Fiction", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/06www": "Steampunk"}
102 1
103 4
116 1
173 2
a 15
action 1
actions 1
activities 1
addiction 1
after 1
agrees 1
airship 3
alas 1
alone 1
altered 1
alternate 4
amazement 1
among 1
amongst 2
amount 1
an 4
anarchists 2
ancient 1
and 30
anticolonialist 1
antiimperialist 1
armadas 1
around 1
as 5
assaulted 1
assert 1
at 5
atomic 2
author 2
await 1
awakes 1
balance 1
bankrupt 1
based 1
bastable 8
be 2
been 1
befriends 1
begin 1
begins 2
benga 2
beyond 1
blast 1
bombing 1
both 1
britain 1
british 2
brutality 1
buddha 1
but 4
by 7
caves 3
churchill 1
city 1
clean 1
colonial 3
colonies 1
comes 1
confrontation 1
confused 1
contact 1
continue 1
could 1
countless 1
countries 1
cruelty 1
deal 1
death 1
decades 1
destruction 1
disappearing 1
discovers 1
dislocation 1
disoriented 1
dissent 1
dominance 1
dominant 1
dominate 1
domination 1
dreading 1
driven 1
east 1
empire 3
empires 4
empiresfor 1
employment 1
ends 1
enoch 1
escapes 1
establishing 1
example 1
expedition 1
experiences 3
explained 1
exsoldier 1
fact 1
fair 1
fictional 1
fight 1
finds 1
first 3
for 2
force 1
former 1
found 1
france 1
freedom 1
friend 1
from 3
front 1
future 5
gaining 1
german 1
gone 1
gradual 1
gradually 1
grandfather 2
great 5
greatly 1
guilt 2
had 1
hands 1
happened 2
has 1
have 2
he 8
held 1
high 1
him 6
himself 1
hiroshima 1
his 14
holidaying 1
home 1
honorable 1
horror 1
however 1
if 1
imperialism 2
in 17
india 2
indian 1
initially 1
injustice 1
innocent 1
into 3
is 11
island 1
it 1
italian 1
japan 1
kang 2
knocked 1
knocks 1
learns 1
liberalisation 1
life 2
lives 1
london 1
loose 1
lost 1
mad 1
maintains 1
major 1
makes 1
man 1
marvels 1
massive 1
men 1
michael 1
millions 1
modern 1
moorcock 4
much 2
mysterious 3
mysteriously 1
named 2
narrative 1
never 2
new 2
north 1
not 2
novel 2
of 17
on 2
one 1
opium 2
opposing 1
oppressed 1
oppression 1
original 1
oswald 1
others 1
outraged 1
over 2
own 2
part 2
passed 1
past 1
patriotic 1
peaceful 2
peoples 1
performed 1
persson 1
picked 1
postscript 1
powell 1
powerful 1
powers 1
priest 1
reader 1
recognise 1
region 1
remains 2
remote 1
resistance 1
result 1
returns 1
revealed 1
revolutionary 1
rowe 1
ruins 1
russian 2
ruthlessly 1
science 1
seeming 1
seemingly 1
seems 2
sending 1
sense 1
sent 1
service 1
settle 1
sharan 1
soon 2
states 1
story 1
stowaway 1
supernaturally 1
suppress 1
teku 2
tell 1
temple 3
territories 1
territory 1
that 3
the 48
their 3
them 1
this 5
though 1
time 2
to 14
too 1
tormented 1
tragically 1
transcribed 1
troop 1
truth 1
tsarist 1
ulianov 1
una 1
unchecked 1
unconsciousness 1
unfair 1
unimpeded 1
united 1
universe 1
unjust 1
unopposed 1
up 1
utopia 2
viceroy 1
war 2
way 1
well 1
western 1
what 1
when 1
where 2
who 2
winston 1
with 6
woman 1
wonders 1
world 6
would 1
wracked 1
year 1
