7402039
/m/0260lqk
/m/0260lqk
Cormac McCarthy
2006-09-26
a 13
abandon 1
across 1
after 2
alike 1
along 1
although 1
an 3
and 19
animals 1
are 4
as 3
ash 1
at 1
attack 1
avoid 1
back 1
bands 1
been 2
before 2
began 1
being 1
blood 1
book 1
boy 11
bullet 1
bunker 1
but 2
can 1
cannibalism 1
cannibals 1
cannot 1
captives 1
carrying 2
cart 1
cataclysm 1
children 1
city 1
civilization 1
committed 1
companions 1
constant 1
contend 1
continue 1
convinces 1
corpse 1
coughs 1
country 1
day 1
days 2
death 1
despite 1
destroyed 1
detritus 1
devoid 1
dies 1
disaster 1
do 1
does 1
duo 1
during 1
dying 1
earth 1
empty 1
encounters 1
evade 1
eventually 2
exposed 1
exposure 1
face 1
falling 1
father 6
few 1
filled 2
finds 1
fire 1
fleeing 1
flesh 1
food 3
for 3
from 4
gave 1
girl 1
gone 1
good 2
gradually 1
grave 1
grieving 1
grim 1
gun 1
guys 2
hands 1
harvested 1
has 4
have 3
he 6
head 1
him 3
himself 1
his 5
holds 1
hope 1
horrors 1
however 1
human 1
idea 1
if 1
illness 1
imagination 1
improve 1
in 5
infant 1
inland 1
into 1
is 6
it 1
journey 2
kill 1
knapsacks 1
land 1
landscape 1
life 1
living 1
major 1
man 10
many 1
meager 1
most 2
mother 1
much 1
near 1
necessary 1
necessities 1
newborn 1
next 1
no 1
not 1
obstacles 1
of 12
on 5
oncoming 1
one 2
only 2
or 1
other 1
over 1
own 1
pair 1
person 1
pleas 1
poses 1
possessions 2
postapocalyptic 1
pregnant 1
protect 1
protection 1
reach 1
realizes 1
realizing 1
reassures 1
references 1
remaining 1
repeatedly 1
resorted 1
revolver 1
roads 1
roasted 1
rounds 1
roving 1
says 1
scavenging 1
scrounge 1
sea 2
situation 1
so 1
some 2
son 3
south 1
speak 1
spit 1
starvation 2
stay 1
still 1
story 1
struggles 1
stumbles 1
succumbs 1
such 1
suicide 1
supermarket 1
survive 1
survivors 1
takes 2
tells 1
that 4
the 46
their 6
them 1
these 1
they 8
third 2
threat 1
threats 1
time 4
to 12
told 1
too 1
towards 1
tracking 1
trek 1
two 2
under 1
underground 1
unexplained 1
unlooted 1
unnamed 1
up 1
upon 1
use 1
uses 1
vegetation 1
wake 1
what 1
where 1
who 4
winter 1
with 7
woman 1
written 1
years 1
yet 1
young 1
