28710780
/m/0cz8k9y
/m/0cz8k9y
Sofi Oksanen
2010-04
{"/m/0lsxr": "Crime Fiction", "/m/0hwxm": "Historical novel"}
12 1
a 5
against 1
alienated 1
aliide 9
an 2
and 7
anything 1
are 1
as 2
at 1
been 1
beginning 1
begins 3
book 2
both 1
but 1
by 4
caused 2
character 1
cloaked 1
commented 1
competition 1
complex 1
confront 1
considerable 1
continues 1
countryside 1
daughter 1
day 1
delivering 1
develops 1
discovers 1
disenchantment 1
during 1
elderly 2
ends 1
escaped 1
especially 1
estonia 2
eventually 1
exterior 1
females 1
find 1
finland 1
first 1
flashbacks 1
focuses 1
for 3
forced 1
forces 1
from 5
granddaughter 1
grandmother 1
grandniece 1
greataunt 1
guide 1
had 3
hans 1
hardly 1
hardship 1
has 4
have 1
help 2
her 14
herself 3
hinged 1
history 1
horrors 1
ii 1
in 6
including 1
ingel 1
instinct 1
integral 1
interaction 1
is 3
isolated 1
it 1
jealousy 1
kitchen 1
leaving 1
lives 1
local 1
looking 1
love 1
mafia 2
main 2
many 1
meets 1
more 1
motherly 1
name 1
nation 1
novel 1
occupation 1
of 17
on 3
one 1
only 1
other 1
out 1
partake 1
past 1
pekk 1
people 1
persecuted 1
photograph 1
plot 2
portion 1
purge 1
reader 1
reconcile 1
reconstruct 1
redemption 1
regards 1
regions 1
relationship 1
remote 1
represents 1
responsible 1
reviewers 1
rough 1
russian 2
selfreliant 1
series 1
sex 2
sexual 2
she 5
sister 3
society 1
soviet 1
story 2
strongly 1
subjected 1
subjugation 1
surrounding 1
survived 1
the 34
their 1
them 1
themes 1
then 1
though 2
to 7
torments 1
trade 1
trafficking 1
truu 2
two 1
ultimately 1
understanding 1
upon 1
urban 1
violence 1
war 1
was 1
watches 1
way 1
weathered 1
which 2
while 1
who 4
whom 1
window 1
with 7
woman 4
world 2
youth 1
zara 6
