1022836
/m/03_3p7
/m/03_3p7
Nicola Griffith
1992-12-23
a 8
accepting 1
across 1
adapt 1
adaptation 1
adjust 1
afterward 1
all 2
allies 1
also 1
ammonite 1
an 3
and 6
anthropologist 1
appears 1
are 1
as 3
be 3
becomes 1
believe 2
between 1
blown 1
body 1
but 1
by 2
center 1
colonists 1
company 3
conflict 1
contract 1
created 1
cultures 2
death 1
discipline 1
disease 1
distinctive 1
echraide 2
employee 1
endemic 1
enslaved 1
environment 1
eventually 2
failed 1
family 1
favor 1
feature 1
follow 1
for 1
forced 2
form 1
former 1
giving 1
god 1
gp 1
greater 1
griffith 1
guard 1
has 1
have 1
her 2
in 2
indigenous 1
into 1
is 6
it 2
its 2
jeep 5
joins 1
journey 1
kills 1
learning 1
learns 1
life 1
like 1
linking 1
living 1
made 1
makes 1
many 1
marghe 4
member 1
men 1
mirror 1
mirrors 1
monolithic 1
mystic 1
native 2
nomadic 1
not 1
novel 1
of 11
ollfoss 1
on 2
only 1
or 1
order 1
other 1
out 1
peace 1
people 2
personnel 1
planet 1
planetary 1
prior 1
pronounced 1
protect 1
quieter 1
reaches 1
sent 1
settle 1
she 3
ship 1
sinister 1
sky 1
some 1
story 1
taishan 1
testing 1
that 1
the 20
their 2
theme 1
then 1
they 1
to 11
traveling 1
tribe 1
truly 1
unexposed 1
up 1
vaccine 3
viajera 1
village 1
virus 2
what 1
where 1
which 1
while 1
who 3
whom 1
wins 1
wise 1
with 2
woman 1
women 1
