32844721
/m/0h3q_3f
/m/0h3q_3f
Anthony Trollope


a 21
able 1
about 1
absent 1
accept 1
accepts 2
acts 1
adore 2
advice 1
affection 1
after 1
all 2
allows 1
although 3
an 2
and 23
angered 1
annoy 1
are 2
as 3
asks 1
associates 2
at 2
aunt 1
back 1
bad 1
baronet 1
baronetcy 1
be 1
becomes 1
been 1
believes 2
bell 1
belong 1
between 1
bitter 1
bondsmen 1
brattle 5
bringing 1
brought 1
build 1
bullhampton 6
burglary 1
but 6
buying 1
by 5
can 2
captain 6
carry 5
centers 1
chapel 3
charged 1
childhood 1
clear 1
colonel 2
come 1
comes 2
companions 1
connected 1
consent 1
consider 1
continues 1
course 1
courtship 1
cousin 2
current 1
death 1
decency 1
deeply 1
despondent 1
develops 1
discovers 1
disowned 1
disspirited 1
distraught 1
does 4
drown 1
each 1
embarrassed 1
end 2
engagement 2
ensures 1
eponymous 1
eventual 1
eventually 3
existence 1
face 1
fallen 1
falls 3
family 7
farmer 1
father 4
fears 2
feel 1
fenwick 9
fenwicks 2
find 1
finds 3
first 1
for 4
forget 1
forgiveness 1
forgives 1
form 1
former 1
fortune 3
found 1
frank 1
friend 2
from 1
gilmore 5
girl 1
glebe 1
good 1
grants 1
greeted 1
guardian 1
guilty 1
half 1
hanged 1
hard 1
harry 1
has 5
have 1
having 1
he 12
heir 3
her 20
herself 1
him 6
himself 2
his 12
home 5
honest 1
hopes 1
however 1
husband 1
if 2
importunements 1
impoverished 1
in 13
india 1
inflict 1
innocence 1
instead 1
interest 1
intervention 1
into 1
involve 1
involves 2
is 13
it 6
its 1
jacob 1
joyously 1
land 2
landowner 1
late 1
leaves 1
leaving 1
left 1
life 2
light 1
likely 1
living 1
location 2
long 1
love 3
lovers 1
lovingly 1
lowther 1
makes 1
man 2
marquis 4
marrable 3
marriage 2
marries 2
marry 1
mary 5
means 1
member 1
methodist 1
mill 3
miller 1
millstream 1
minister 1
misfortune 1
mother 2
move 1
mr 1
murder 2
murdered 1
must 2
mutual 2
neighbouring 1
never 3
new 1
not 4
now 1
of 24
off 1
offer 1
often 1
old 1
on 5
one 2
only 1
other 1
out 2
outright 1
parish 1
parliament 1
part 1
pass 1
past 1
pays 1
permanent 1
permission 1
piece 1
poverty 1
prevent 1
principal 1
proposal 1
puddleham 2
recognizes 1
reconcile 1
reconciled 1
regiment 1
regret 1
reject 1
relations 1
relationship 1
reluctantly 1
remain 1
remains 1
rescue 1
residence 1
resolved 1
resolves 1
rest 1
return 1
returned 1
returns 1
reunited 1
rumours 1
sam 7
second 2
seducer 1
see 1
seeks 1
set 1
shame 1
she 14
should 1
sight 1
sin 1
sister 2
small 1
solution 1
son 3
sound 1
spreads 1
squandering 1
squire 1
strikes 1
suave 1
subplot 3
subplots 1
subsequently 1
support 1
suspicion 1
swindles 1
telling 1
temporary 1
that 12
the 57
their 1
theirs 1
then 1
there 1
third 1
this 2
three 1
through 2
time 1
to 25
too 1
town 1
tries 1
trowbridge 1
two 1
unknown 1
unwilling 1
urge 1
vicar 4
village 1
walter 1
wanders 1
warning 1
when 1
where 1
whereabouts 1
which 1
who 1
wife 1
will 5
wiltshire 1
winning 1
with 9
without 1
woman 2
work 1
worker 1
worse 1
yet 1
yielded 1
yields 1
youngest 1
