15053893
/m/03h6130
/m/03h6130
Glenda Larke
2003-10-29
a 4
all 2
almost 1
ambitions 1
an 2
ancient 1
and 1
as 2
at 1
awareness 1
away 1
be 1
been 1
being 1
blaze 3
business 1
but 1
by 1
cirkasian 2
could 2
danger 1
deep 1
doesnt 1
drunken 1
dunmagic 1
else 1
enslaved 1
everyone 1
far 1
find 1
floor 1
for 1
form 1
further 1
gloryand 1
gorthan 2
halfbreed 1
handsome 1
have 2
having 1
her 2
here 1
horrified 1
i 3
immediate 1
in 2
into 1
is 3
islands 1
isles 1
it 3
just 1
keepers 1
key 1
knows 1
legend 1
lie 1
life 1
like 1
men 1
more 1
needed 1
not 1
noticed 1
oblivious 1
of 4
other 1
over 1
own 1
paid 1
plaice 1
political 1
regretted 1
running 1
searth 1
sees 1
she 3
spit 2
tables 1
takes 1
tall 1
taproom 1
the 10
their 2
thing 1
threat 2
three 1
to 7
trouble 1
unravel 1
vanished 1
very 1
what 1
when 1
with 1
without 1
woman 2
would 1
wouldnt 1
