3416057
/m/09b9zw
/m/09b9zw
Dee Henderson
1989
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
100 1
18 1
2 1
25th 1
5 3
500000 1
a 51
abdullah 1
about 2
abroad 1
accepted 1
access 1
accidental 1
across 1
actually 1
address 1
african 1
after 6
against 1
agent 3
agree 2
agrees 2
air 1
all 3
allow 1
also 2
always 1
amendment 1
american 4
an 3
and 51
andrei 2
anonymous 1
appears 1
arabia 1
arabist 1
are 5
armament 1
arms 3
army 1
arranges 2
arrest 1
arrested 2
as 5
at 6
attempt 1
authorities 1
back 3
bank 1
bar 1
base 1
bastos 1
be 9
bearer 1
become 1
been 3
before 2
begins 1
being 1
belgian 1
belgium 1
believed 1
believes 1
belonging 1
belt 2
beret 1
big 1
bill 1
billion 1
bivouacking 1
blamed 1
blind 1
bomb 3
bonus 2
book 1
briefly 1
british 1
broadcast 1
brought 5
bug 1
bullet 2
but 8
by 18
cabin 3
cafe 1
cahoots 1
called 1
canada 1
case 2
caving 1
celebrations 1
charge 1
chief 1
chooses 1
cia 2
cigarettes 1
closing 1
coaxes 1
coded 1
colonel 1
come 1
comes 1
command 1
commissioned 1
commit 1
committee 2
companies 2
concludes 1
conclusion 1
confronts 1
conspirators 2
contact 1
contacted 1
control 2
cormack 4
corpses 1
corsica 1
corsican 1
cossack 1
could 2
couldnt 1
counterpart 2
covert 1
criminal 1
cyrus 1
dangerous 1
darkness 1
david 3
days 1
dc 1
deal 1
death 2
decides 2
demand 1
demands 2
depressing 1
deserted 1
designated 1
destroy 1
detonator 1
devastated 1
devise 2
diamonds 3
different 1
disaffected 1
disgruntled 1
documents 1
does 1
dominique 1
donation 1
done 1
down 1
draft 1
draw 1
driveby 1
drop 1
drowning 1
drug 1
drugged 1
due 1
duncan 3
during 1
dwindling 1
earlier 1
ease 1
east 2
easterhouse 2
effectively 1
embassy 1
entering 1
escape 1
europe 2
evade 1
evening 1
eventually 1
evidence 1
exciaofficerturnedmercenary 1
execute 1
explosion 1
face 1
fairground 1
fake 2
family 1
fat 1
fbi 6
fellow 1
female 1
fields 1
financially 1
finding 1
finds 3
finished 1
first 1
flat 1
fled 1
flies 3
flush 1
follow 1
followed 1
for 11
forced 2
forces 1
forged 1
former 1
fortune 1
found 2
fourth 1
free 1
friend 1
from 4
front 1
fundamentalists 1
gave 2
general 3
given 1
go 3
gorbachev 1
government 1
green 1
gruesome 1
gun 2
