18006205
/m/047srl5
/m/047srl5
Pauline Clarke
1962
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
5000 1
a 3
about 4
across 1
act 1
adopt 1
adventures 1
america 1
american 1
an 3
and 8
anxious 1
anyone 1
are 2
argumentative 1
as 4
at 1
attic 1
be 1
becomes 1
before 1
begins 1
being 1
believes 1
belonged 1
boy 1
brave 1
bront 2
bronts 2
brother 1
but 1
children 1
come 1
countryside 1
danger 1
dedicated 1
deeply 1
delighted 1
determined 1
different 1
disappear 1
discover 1
discovers 3
eightyearold 1
family 1
farmhouse 1
finally 1
find 1
finds 1
fortune 1
fraught 1
from 2
genii 2
has 1
have 3
haven 1
haworth 1
he 4
his 3
home 1
impulsively 1
in 5
independent 1
intelligent 1
into 1
is 4
jane 2
just 1
keen 1
known 1
learn 1
learns 1
letter 1
life 1
local 2
march 1
max 4
may 1
men 1
mention 1
moments 1
morley 1
most 1
moved 1
museum 1
newspaper 1
night 1
not 1
now 1
of 4
offering 1
old 2
older 2
on 1
once 1
one 1
ones 1
only 1
or 2
original 1
parson 1
peril 1
personalities 1
philip 1
professor 2
protection 1
protective 1
publishes 1
reach 1
regret 1
return 1
safe 1
secret 1
she 1
sister 1
small 1
soldiers 7
some 2
spend 1
spirits 1
stories 1
surprised 1
taken 1
that 4
the 23
their 4
them 3
they 7
thinking 1
time 2
to 12
too 1
toy 1
truth 1
twelves 1
very 1
watching 1
when 2
who 2
whose 1
with 2
wooden 1
writes 1
wrote 1
yorkshire 1
young 1
