16240817
/m/03wdws8
/m/03wdws8
Sylvia Engdahl
1970
a 7
about 1
accompany 1
advanced 2
advantage 1
against 1
alien 1
allowing 1
an 1
any 1
are 2
away 1
because 1
been 1
believe 1
belongs 1
called 1
civilization 2
contact 1
deemed 1
either 1
elana 3
empire 1
enchantress 1
exposing 1
father 1
federation 1
gives 1
grow 1
has 2
her 1
him 3
in 3
intervention 2
invaded 1
its 1
lead 1
leading 1
magical 1
maturing 1
mission 1
monitors 1
native 1
necessary 1
of 4
on 3
or 1
order 3
peaceful 1
planet 3
resources 1
role 1
she 1
ship 1
sort 1
spacefaring 1
still 1
stows 1
take 1
takes 1
technologically 2
that 2
the 4
them 2
they 1
to 8
tools 1
truth 1
various 1
where 1
which 2
without 2
woodcutter 1
worlds 1
young 1
