28086601
/m/0cmf1tj
/m/0cmf1tj
MaryJanice Davidson

{"/m/02n4kr": "Mystery", "/m/01qxvh": "Romance novel"}
a 5
accompany 1
agrees 1
and 2
antichrist 1
at 1
betsy 7
better 1
book 1
but 2
can 2
condition 1
consequences 1
could 1
daughter 1
dead 1
drives 1
few 2
fix 1
for 2
get 1
halfsister 1
has 1
hell 2
her 3
heritage 1
history 1
husband 1
in 1
insane 1
is 1
it 1
journey 1
just 1
know 1
laura 4
minutes 2
more 2
need 1
of 2
only 1
person 1
read 1
reading 1
results 1
reveals 1
satan 3
says 1
serious 1
she 1
sinclair 1
so 3
some 1
than 2
that 5
the 5
things 1
time 1
timetravelling 1
to 3
under 1
understand 1
visit 2
wants 1
which 1
who 1
would 1
