23723204
/m/06zrzz3
/m/06zrzz3
Peter Tertzakian
2007

2006 1
a 5
abandonment 1
addiction 1
adoption 1
all 1
amongst 1
and 5
anxiety 1
any 1
as 1
aspects 1
at 1
attention 1
author 1
barrels 1
beginning 1
believes 1
book 2
books 1
break 2
but 1
change 1
china 1
climate 1
coal 1
commit 1
commodity 1
consumption 1
could 1
crude 1
cycle 2
day 1
demand 1
does 1
dominant 1
draws 1
east 1
elevated 1
energy 6
equivalent 1
etc 1
evident 1
evolutionary 1
examines 1
exceptionally 1
facing 1
factors 1
figure 1
from 2
future 2
global 1
he 1
historically 1
history 1
humankinds 1
illustrates 1
in 3
india 1
industrial 1
industry 1
inevitability 1
is 3
its 1
kerosene 1
lead 1
leadership 1
longer 1
marks 1
middle 1
no 1
not 1
numerical 1
of 9
oil 5
oils 2
one 2
ongoing 1
outcome 1
paints 1
particular 1
past 1
peaceful 1
per 2
point 2
position 1
present 1
prices 1
primary 2
problems 1
production 1
profitable 1
publication 1
ranging 1
resolution 1
scenarios 1
second 1
shock 1
significance 1
significant 1
society 1
source 1
sources 2
tallow 1
tenable 1
that 1
the 15
this 2
thousand 1
threshold 1
time 1
to 5
today 1
transcendence 1
unrest 1
various 2
weakened 1
whale 1
when 1
wood 1
