2846264
/m/086h70
/m/086h70
Alistair MacLean
1955
{"/m/02p0szs": "Historical fiction", "/m/05hgj": "Novel"}
32 1
a 7
accidents 1
acts 1
after 1
aftermath 1
again 1
air 1
all 3
among 1
an 2
and 7
any 1
arctic 1
are 4
armed 2
as 3
aspects 1
at 1
attacks 1
attempt 1
based 1
bay 1
been 1
believable 1
beset 1
beyond 1
book 2
british 1
bunch 1
by 4
challenges 1
characters 1
class 1
coincidental 1
convoy 4
credible 1
crew 3
cruiser 3
cruisers 1
descriptions 1
destroyed 1
destroyer 1
didoclass 1
echoes 1
endurance 1
enemy 1
engaging 1
escort 1
especially 1
events 3
excel 1
extremely 1
failed 1
fastest 1
features 1
fictitious 1
fierce 1
five 1
for 1
fr77 2
from 1
gclass 1
genuine 1
german 2
had 2
heading 1
her 2
heroes 1
heroism 1
his 1
hms 2
human 1
ideals 1
illfated 1
in 5
is 6
it 1
jervis 1
larger 1
light 1
limits 1
line 1
maclean 1
make 1
merchant 1
more 2
motivated 1
motivations 1
moving 1
murmansk 1
mutiny 1
not 1
novel 1
number 1
numerous 1
of 14
on 1
one 1
only 2
opponents 1
other 1
outfoxed 1
paint 1
plague 1
portrayals 1
pq17 1
pushed 1
pushes 1
puts 1
ram 1
rarely 1
real 2
realism 1
redefine 1
reduce 1
resilience 1
respectable 1
robbing 1
sacrificed 1
sea 1
seamen 1
served 1
set 1
ships 3
similar 1
simplicity 1
slowly 1
startling 1
starts 1
storm 1
story 1
sunk 1
task 1
than 1
that 4
the 26
their 1
them 1
themselves 1
they 4
this 2
though 1
to 7
uboats 1
ulysses 4
unusually 1
uses 1
victory 1
vital 1
war 1
weapons 1
well 3
which 1
word 1
world 1
