5487527
/m/0dn_9l
/m/0dn_9l
Anya Seton

a 14
about 1
accidentally 1
accused 1
acquaintance 1
act 2
adultery 1
adventures 1
afire 1
after 5
ailing 1
all 4
already 1
also 1
an 4
and 34
anew 1
anne 1
another 2
apothecary 1
apparent 1
are 6
areligious 1
as 3
at 2
attempt 1
attempting 1
attempts 3
back 1
barbados 1
be 2
beaten 1
beautiful 1
because 2
become 1
becomes 2
becoming 1
befriend 1
begins 2
believe 1
believes 1
better 1
birth 1
blaspheming 1
both 2
brother 3
brought 1
but 3
by 1
can 1
capricious 1
care 1
carefree 1
caught 1
chides 1
children 1
choice 1
chooses 1
colonists 1
colony 3
come 1
comes 1
commits 1
completely 1
confiscated 1
connecticut 1
control 2
could 1
countryside 2
couple 2
courting 1
cousin 3
cover 1
daniel 2
daughter 2
declares 1
deeds 1
demands 1
depart 1
depleted 1
dismay 1
dismayed 1
disturbed 1
do 1
does 1
driven 1
drowns 1
dutch 1
each 1
edward 2
elizabeth 22
elsewhere 1
enemy 1
engaged 2
england 2
english 1
equally 1
especially 2
estate 2
eventually 1
ever 1
exlover 1
family 4
father 3
fathers 1
feake 2
feakes 1
feelings 2
final 1
finally 2
financial 1
fond 1
fones 5
for 8
forces 1
free 1
friend 1
friends 1
frolicking 1
from 1
fun 1
gains 1
garden 1
gives 1
golddigger 1
grandfather 1
greenwich 3
grows 1
hallett 4
hand 1
happy 1
harry 9
has 4
hatred 1
have 3
haven 1
having 1
he 8
hearts 1
heavy 1
henry 1
her 15
hide 1
him 1
his 17
hotheaded 1
house 3
household 1
how 1
howes 3
however 1
husband 1
hutchinson 1
important 1
in 22
indians 2
instead 1
instilling 1
into 1
is 16
it 3
jack 8
jealous 1
joan 1
john 6
join 1
jr 1
jump 1
just 2
kisses 1
lands 1
later 1
law 1
leader 1
left 1
life 1
live 1
long 1
longer 1
love 2
lover 1
lust 1
lyons 2
mad 1
maid 1
man 1
margaret 1
marriage 1
married 1
marries 2
marry 2
martha 3
massachusetts 1
meantime 1
meanwhile 1
member 1
money 1
more 5
move 2
much 1
murdered 1
nearly 1
neglects 1
netherland 1
new 4
night 2
nightmares 1
no 2
not 3
now 1
obvious 1
odd 1
of 12
often 1
old 1
on 1
once 2
one 1
or 1
other 3
out 3
over 1
overcomes 1
own 1
particular 1
patrick 2
pious 1
point 1
position 1
pregnant 1
previous 1
profligate 2
proper 1
properly 1
prospective 1
protection 1
protestantism 1
reckless 2
recklessness 1
resides 1
resulting 1
return 2
returns 2
robert 3
ruin 1
runins 1
runs 1
seeks 1
set 1
settle 1
she 5
sister 2
sleep 2
son 2
soon 2
spend 1
spends 1
squaw 1
start 1
stays 1
still 1
strangely 1
strengthened 1
strict 2
strong 1
suggestion 1
swim 1
tainted 1
taken 1
taking 1
telaka 2
than 2
that 4
the 19
their 8
them 1
then 2
there 1
they 1
thomas 3
though 1
time 1
to 26
together 1
town 2
travelling 1
trouble 1
turns 1
two 1
uncle 3
under 2
unlike 1
unwilling 1
visit 1
was 1
watertown 1
weakwilled 1
wed 2
when 2
where 1
while 2
who 5
widow 1
wife 3
wild 1
william 4
wills 1
winthrop 10
witch 1
with 6
woman 2
working 1
world 1
years 1
yet 1
young 2
younger 2
