6830322
/m/0grg5w
/m/0grg5w
Barbara Pym

{"/m/02xlf": "Fiction"}
a 6
about 1
academics 1
activities 1
africa 2
alaric 2
and 4
anthropologist 2
at 1
attempts 1
becomes 1
begin 1
begins 2
catherine 3
curry 1
deirdre 3
departs 1
digby 2
during 1
favour 1
fellowstudents 1
fizzles 1
fondness 1
for 2
from 1
has 1
he 1
her 1
hilarious 1
his 1
in 1
influential 1
interested 1
involves 1
is 2
killed 1
lives 1
lydgate 1
mallow 1
mark 1
of 2
oliphant 1
out 1
political 1
recently 1
reclusive 1
relationship 2
return 1
returned 1
romance 1
same 1
seems 1
she 1
student 1
subplot 1
swann 1
the 2
their 1
time 2
to 3
tom 3
unrest 1
where 1
who 2
with 5
writer 1
young 1
