33770810
/m/0hhr35k
/m/0hhr35k
Conn Iggulden
2011-09-23
a 8
age 1
alexander 2
all 1
alongside 1
an 4
ancient 1
and 3
arisen 1
art 1
as 1
be 1
been 1
betrayed 1
bloody 1
bonaparte 1
brother 1
brothers 1
built 1
but 1
by 2
caesar 2
civil 1
conquered 1
conqueror 1
dreams 1
dwarf 1
empire 3
ends 1
enemy 1
ever 1
extraordinary 1
face 1
fifth 1
first 1
from 2
generation 1
genghis 1
golden 1
great 2
greatest 1
ground 1
hangs 1
has 2
have 1
he 4
his 3
history 1
in 1
instead 1
is 3
it 2
julius 1
khan 3
known 2
kublai 2
lands 1
larger 1
leaders 1
learn 1
long 1
losing 1
man 1
mighty 1
mongol 1
most 2
must 3
napoleon 1
nation 2
nations 1
new 1
of 9
one 2
or 1
over 1
own 2
powerful 1
protect 1
remembered 1
rule 1
scholar 3
sea 2
see 1
shadow 1
should 2
slowly 1
still 1
story 1
strength 1
stretching 1
swallowed 1
take 1
tells 1
than 1
the 13
their 1
them 1
this 1
those 1
to 6
vast 1
war 2
warrior 1
warriors 2
weary 1
when 2
who 4
whole 1
wisdom 1
wise 1
with 2
won 1
world 3
would 1
wounded 1
yet 1
