31757900
/m/0gmbs10
/m/0gmbs10
Charlaine Harris

{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
a 4
about 1
adele 1
admits 1
aftermath 1
amelia 1
and 8
are 2
at 1
back 1
be 1
bill 1
bob 1
bubba 1
castro 1
causing 1
challenging 1
claude 1
compton 1
continuing 1
cousin 1
de 1
dermot 1
employer 1
enemies 1
eric 2
faery 1
felipe 1
fintan 1
for 2
friend 2
friends 1
from 1
grandfather 1
grandmother 1
greatuncle 1
halffairy 1
has 1
her 5
his 1
home 1
house 1
in 3
into 1
is 2
king 1
learning 1
love 1
lover 1
madden 1
making 1
meanwhile 1
merlotte 1
more 1
new 1
northman 1
of 2
old 1
other 1
pelt 1
position 1
problems 1
proves 1
relationship 2
representative 1
sam 1
sandra 1
score 1
separation 1
settle 1
sookie 4
stackhouse 1
supportive 1
the 4
themselves 1
threatening 1
throws 1
to 2
vampire 1
victor 1
visit 1
ways 1
with 3
world 1
wrinkle 1
