17859084
/m/047bc0b
/m/047bc0b
Connie Willis
2007-12
{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction"}
a 4
actions 1
aliens 3
allow 1
an 1
and 2
at 2
be 1
before 1
but 1
campus 1
choir 1
christmas 1
columnist 1
commission 2
communicate 1
decipher 1
denver 1
director 1
during 1
earth 1
everyone 1
following 1
follows 1
glare 1
has 2
have 1
how 1
idea 1
incident 1
joined 1
landed 1
leave 1
led 1
local 1
locations 1
mall 1
meg 2
newspaper 1
no 1
on 1
school 1
season 1
shopping 1
story 1
studying 1
team 1
that 1
the 6
them 1
themselves 1
they 1
to 5
try 1
university 1
up 1
various 1
who 1
with 1
