8808690
/m/027kh2t
/m/027kh2t
Colleen McCullough
1998
54 1
a 1
acceptance 1
alesia 1
and 8
antagonism 1
as 1
assassination 1
at 2
battle 3
bc 1
boni 2
britannia 2
broadly 1
caesar 3
campaigns 1
circumvallation 1
citadel 1
civil 2
collapse 1
complete 1
concerning 2
conclusion 1
conquests 1
conservative 1
consul 1
crassus 1
crossing 1
deals 1
death 1
destruction 1
during 1
dyrrhachium 1
egypt 1
epochal 1
escape 1
faction 1
failed 1
falling 1
final 2
first 2
flight 1
force 1
from 1
gallic 2
gaul 1
gergovia 1
gnaeus 1
great 1
growing 1
half 2
having 1
him 1
his 12
in 5
include 1
intentions 1
invaded 1
invasion 1
involved 1
italy 1
julia 1
just 1
leadership 1
licinius 1
magnus 1
marcus 1
middle 1
moments 1
narrates 1
narrow 1
negotiations 1
novel 2
of 21
opening 1
opens 1
out 1
pharsalus 1
pivotal 1
pompeius 1
pompey 1
ptolemaic 1
reelection 1
relief 1
repulse 1
resistance 1
return 1
rome 1
rubicon 1
scattering 1
second 1
sense 1
some 1
surrender 1
system 1
the 29
there 1
to 1
towards 1
triumvirate 1
unease 1
uxellodunum 1
vercingetorix 1
victory 2
war 2
which 1
with 3
