1838889
/m/05_yx0
/m/05_yx0
Douglas Coupland
1992
a 11
about 2
advice 1
after 2
alcoholic 1
also 1
american 1
an 2
and 7
angeles 3
annalouise 3
are 3
as 3
at 3
band 1
bechtel 1
become 1
becomes 2
beginning 1
begins 2
boarding 1
brand 1
brother 1
but 1
by 2
calls 1
cat 1
caused 1
chicken 1
collection 1
compatriots 1
composed 1
comprehend 1
contractor 1
coupland 1
daisy 1
dan 2
decide 1
decided 1
deciding 1
defense 1
details 1
different 1
divorces 1
down 2
drawn 1
dreams 1
effects 1
employer 1
enough 1
enters 1
europe 1
european 3
events 1
exhippie 1
family 2
fear 1
featuring 1
feels 1
finds 1
first 2
food 1
for 1
fortune 1
from 3
fry 1
fryer 1
gave 1
ghost 1
girl 1
gourmet 1
grandparents 2
had 1
haircare 1
has 1
have 2
having 1
he 5
help 1
her 3
him 2
himself 3
his 14
in 10
including 1
interesting 1
introduced 1
introduction 1
invented 1
is 11
it 2
jasmine 4
kittywhip 2
labeled 1
lancaster 4
largest 1
lead 1
leaves 1
life 3
line 1
live 1
local 1
loneliness 1
los 3
lose 1
mall 1
man 1
manning 1
many 2
mark 1
married 1
means 1
meeting 1
members 1
monique 1
more 1
most 1
mother 4
name 2
named 2
names 1
near 1
not 2
novel 2
obsessed 1
of 9
one 1
part 3
patch 1
plants 2
problems 1
product 2
products 2
quite 1
realized 1
relationship 3
return 1
rough 1
salesperson 1
satirically 1
secret 1
selling 1
shame 1
share 1
shop 1
shortly 1
shut 1
shutdown 1
siblings 1
sister 1
start 1
starts 1
stephanie 6
stores 1
strife 1
summer 1
tells 1
than 1
that 4
the 15
their 3
them 1
they 4
this 1
through 1
time 2
to 10
together 1
town 3
towns 1
troubling 1
turn 1
two 2
tyler 6
tylers 8
up 1
upside 1
us 1
vacation 3
very 1
visit 2
was 1
washington 1
wealth 1
wealthy 1
what 1
which 1
who 1
will 1
with 7
working 2
world 1
worst 1
wrought 1
