20116937
/m/04y6wt1
/m/04y6wt1
Lesléa Newman
1994
{"/m/03mfnf": "Young adult literature"}
a 5
always 1
amazing 1
and 8
anyone 1
around 1
as 2
be 2
because 1
best 1
bingepurge 1
boy 1
boyfriend 1
but 2
cake 1
can 1
cant 2
care 1
cheekbones 1
control 1
convinced 1
creamy 1
crush 1
cure 1
death 1
disorder 2
doesnt 2
dreadful 1
easy 1
eat 1
eating 1
eighth 1
ends 1
even 1
for 1
friend 1
gain 1
girl 1
glamorous 1
gorgeous 1
grade 1
had 2
happen 1
happens 1
have 3
her 7
if 1
im 1
in 2
intensive 1
is 3
it 3
joke 1
judi 6
just 1
liebowitz 1
life 2
like 1
look 1
matter 1
meets 1
monica 1
mother 1
nancy 4
no 2
not 1
of 2
on 1
only 1
or 3
own 1
part 1
pratt 2
really 1
same 1
secret 1
she 10
shell 1
sipping 1
something 1
staying 1
stick 1
stolen 1
straw 1
teaches 1
tell 1
that 2
the 5
then 1
thighs 1
thin 2
thing 2
thinks 1
thinnest 1
this 1
thrilled 1
through 1
tiny 1
to 7
too 1
turn 1
up 1
uses 1
want 2
wants 1
weight 1
when 1
will 1
wont 1
worst 1
wouldnt 1
