1906129
/m/065777
/m/065777
Walter Scott
1819
a 6
about 1
activities 1
advantageous 1
agrees 1
ailsie 1
all 1
ambitious 1
an 1
and 10
answer 1
apply 1
are 1
arranged 1
ashton 6
ashtonfiction 1
asking 1
at 2
away 1
balderstone 1
barely 1
before 1
betrothal 1
bidethebent 2
blaming 1
bought 1
bridal 1
brings 1
broken 1
brother 1
bucklaw 4
bullies 1
but 6
by 1
caleb 1
campaign 1
can 1
captain 1
celebration 1
chamber 1
clings 1
comic 1
continue 1
continues 1
dalrymple 1
dancing 1
day 2
death 1
deposed 1
descends 1
despair 1
determined 1
dies 2
duel 1
eccentric 1
edgar 14
end 1
engagement 1
estate 2
even 1
everyone 1
falls 2
family 2
father 2
fiction 1
finally 1
followed 1
for 6
force 1
forgotten 1
fortune 1
france 2
francis 1
from 1
funeral 1
get 1
gets 1
gourlay 1
guests 1
had 1
happened 1
happy 1
has 3
hates 1
haughty 1
he 3
helps 1
her 6
heritage 1
him 3
his 3
however 1
ii 1
in 7
initial 1
insanity 1
insists 1
instead 1
intercepts 1
into 4
is 5
james 1
king 1
lady 5
laird 1
leaves 1
letter 2
letters 1
love 2
lucy 18
manipulative 1
marriage 1
married 1
marrying 1
master 1
meet 1
meeting 2
name 1
new 1
next 1
no 1
of 9
off 1
old 1
older 1
omens 1
on 3
papers 1
persuades 1
persuasion 1
place 1
plans 1
political 1
politically 1
provides 1
quickly 1
quicksand 1
ravenswood 4
reappears 1
recounts 1
recovers 1
recruits 1
refuses 1
relief 1
religious 1
reluctantly 1
renounces 1
repudiates 1
retainer 1
returns 1
reverend 1
rutherford 1
say 1
scotland 1
seeing 1
send 1
severely 1
she 5
show 1
signed 1
sir 3
soldier 1
some 1
speak 1
stabs 1
still 1
story 3
stripped 1
supporting 1
suppresses 1
takes 1
tell 1
that 5
the 19
then 1
there 1
they 1
this 1
title 1
to 12
tokens 1
tragic 1
troth 1
unfaithfulness 1
usurpation 1
vengeance 1
villainess 1
wandering 1
was 1
way 1
wedding 2
westenho 1
what 1
while 2
who 1
wife 1
william 3
wise 1
witch 1
with 3
woman 1
word 1
wounding 1
writes 1
