9515633
/m/02phg5j
/m/02phg5j
Virginia DeMarce
2007-10-01
1631 1
1632 1
1634 6
8085 1
a 10
abetted 1
accompanied 1
action 1
actions 1
administered 1
adolphus 1
affair 1
aided 1
ally 1
amberg 1
and 9
anna 1
archduchess 1
are 2
armies 1
as 1
aunt 1
austria 1
backs 1
baltic 1
bavaria 1
becomes 1
behind 2
bit 1
book 1
border 1
bride 1
brother 1
by 7
canvas 1
capturing 1
cardinalinfante 1
catholic 1
coherent 1
concurrent 1
conquered 1
contemplating 1
countries 1
delegation 1
detail 1
disconcerting 1
dowager 1
dreeson 2
duke 2
dukes 1
dynastic 1
early 2
elector 1
emperor 1
ernest 1
europe 1
events 2
father 1
feed 1
ferdinand 2
find 1
for 1
formation 1
formidable 1
four 1
from 1
galileo 1
gather 1
goal 1
grantville 1
gustavus 1
habsburg 1
have 1
heiress 1
her 2
him 1
his 3
host 1
i 1
ii 1
in 4
information 1
integrated 1
into 2
iron 1
is 1
iv 1
jesuit 1
king 1
little 1
low 1
machinations 1
maria 1
mary 1
matters 1
maximilian 1
meanwhile 1
move 1
need 1
needs 1
novels 1
nus 1
oddities 1
of 19
one 1
other 1
own 1
palatinate 2
personal 1
pet 1
philip 1
plan 1
political 1
production 1
projects 1
ram 1
rebellion 1
reconquered 1
region 1
restoring 1
revelations 1
saxegotha 1
scenes 1
simpson 2
sister 1
snapshot 1
spain 1
state 1
strategic 1
suitable 1
summer 2
supplanted 1
sweden 1
tend 1
that 1
the 21
their 1
this 1
ties 1
to 5
trade 1
trip 1
upper 2
use 1
veronica 1
war 2
watchdogs 1
were 1
wettin 1
which 1
while 1
whose 1
widower 1
will 1
with 2
women 1
younger 1
