221272
/m/01g985
/m/01g985
Władysław Szpilman
1999
{"/m/0xdf": "Autobiography", "/m/05h83": "Non-fiction", "/m/016chh": "Memoir", "/m/02gsv": "Personal journal"}
12 1
13 3
130s 1
133 1
14 1
140 3
140a 1
142 4
143 1
144 3
145 1
15 2
152 1
16 1
20 1
22 1
30 1
a 108
able 2
about 3
above 1
absolutely 1
abused 1
academy 2
accepted 1
accommodation 1
accompanied 1
account 1
acquaintances 2
across 1
acted 2
action 1
addition 1
adequately 1
adolf 1
advance 1
advised 1
after 20
afternoon 2
again 7
against 5
agreeable 1
agreed 1
aim 1
aimed 2
air 3
alarmed 1
alight 1
alive 1
all 12
allow 2
allowed 5
almost 3
alone 2
along 1
already 6
also 5
although 5
ambition 1
ammunition 1
among 2
amongst 3
amount 1
amounts 1
an 10
and 170
andrzej 1
angered 1
angrily 1
animal 1
announced 1
another 3
answered 1
any 2
anyone 2
anything 1
apartments 1
apparitions 1
appeal 1
appearance 1
appeared 3
applying 1
area 10
areas 2
armchair 1
arms 3
army 3
arose 1
around 6
arrange 1
arranged 1
arranging 1
arrest 1
arrested 3
arrived 3
arrivedat 1
article 1
arts 1
artur 1
aryan 3
as 52
aside 1
ask 1
asked 6
asleep 2
assembly 1
at 39
attack 1
attempt 1
attic 9
august 5
authorities 1
available 1
avoid 2
awaited 1
away 5
babies 1
back 12
backs 1
bad 1
bags 3
bandits 1
bank 1
barracks 1
barring 1
based 1
bathtubs 1
be 35
bearing 1
becae 1
becoming 1
been 14
before 7
began 11
beggar 1
beggars 1
begging 2
beginning 1
beginnings 1
begun 2
behind 4
being 7
bellowing 1
below 3
beneath 1
berlin 3
beside 1
besieged 1
best 2
between 1
beyond 2
bigger 1
blind 1
blinded 1
block 1
blocked 2
blows 1
bogucki 2
bombs 1
books 2
boring 1
bottle 1
bought 1
boundaries 1
bounds 1
box 1
boy 1
braced 1
bread 4
breathing 1
brief 1
bring 2
broken 1
brother 2
brothers 1
bucket 1
buckled 1
building 26
buildinga 1
buildings 3
bullets 1
bundle 2
bureau 2
burning 2
burnt 3
burst 1
business 2
but 28
butts 1
buy 1
buyer 1
by 56
c 1
caf 1
called 2
calling 1
came 10
camp 5
camps 3
cant 2
caps 1
captivity 2
capture 1
caramel 1
carbon 1
care 1
careful 2
carried 1
carrier 1
carry 3
carrying 1
cars 1
cart 1
carts 3
case 2
cat 1
cattle 1
caught 2
cellars 1
centre 6
certificates 2
chain 1
chairs 1
chambers 1
change 3
changed 1
chaos 1
charge 3
chest 1
child 4
childish 1
children 3
chlorinated 1
chlorine 1
chodna 1
choose 1
chopin 1
chopins 1
chose 1
citizen 1
citizens 1
city 16
civilian 3
civilians 2
clambered 1
clambering 1
class 2
cleaning 1
clear 1
climb 1
climbed 1
close 3
closed 3
closer 1
clothes 1
clothing 1
clumsily 1
coat 1
cold 3
collapsed 1
collar 1
collect 2
collection 3
column 2
come 6
coming 2
commandant 1
comment 1
commit 2
community 1
complaints 1
completed 1
completely 1
completing 1
completion 1
composition 1
compound 1
compromise 1
compulsive 1
conceal 1
concentration 2
conclusion 1
conducted 1
confine 1
confines 1
conscience 1
considerable 1
construction 1
continue 1
continued 1
convoys 1
cook 1
cordon 1
corner 1
corpse 1
could 16
couldnt 1
council 3
couple 2
cover 1
covered 2
craving 1
cream 1
crematorium 1
cries 1
crossed 2
crossing 1
crowd 2
crowded 1
crusts 1
culprits 1
culture 1
cultured 2
cupboard 1
cure 1
cursing 1
custom 1
customs 1
danger 1
dangerous 1
dared 1
dark 1
day 9
days 6
dead 1
deal 1
dealings 1
death 3
december 2
decided 3
decision 2
decreased 1
decree 1
decrees 2
deeply 1
defeat 1
defeated 1
defiance 1
degrees 1
delayed 1
demolish 1
deportation 3
deported 2
deposited 1
deputy 1
described 1
describes 7
despair 1
desperate 2
destroyed 3
determined 1
developed 1
devoted 1
did 8
didnt 4
died 2
different 1
difficult 1
direction 1
director 1
disappointment 1
discover 1
discovered 4
discovery 1
diseases 1
dismay 1
distance 2
divided 1
do 8
documents 1
doing 4
dont 1
door 1
down 12
drain 1
drank 1
drastically 1
drink 4
driven 1
driver 1
dropped 1
due 1
during 8
dusk 1
dying 1
each 6
early 1
east 1
eat 1
eaten 1
eating 1
echo 1
educated 1
eerie 1
effect 1
effects 1
effort 2
efforts 1
either 1
elaborate 1
employer 1
employers 2
employment 1
empty 2
emptyhanded 1
encounter 3
encouraging 1
end 2
english 1
enjoy 1
enough 6
enthusiastic 1
entire 2
entirely 1
escape 4
especially 2
estate 1
europe 1
evacuate 2
evacuated 1
evacuation 1
even 9
eventually 5
ever 4
every 5
everyday 1
everything 1
exceptions 1
exempt 1
exercise 1
exorbitant 1
expanded 1
expanse 1
expensive 3
experience 2
explanation 1
explored 1
expose 1
expressed 1
extermination 1
extra 1
extract 1
extremely 2
eye 1
eyes 1
factories 1
failed 1
fallen 2
families 4
family 14
familyby 1
familys 1
far 1
fascists 1
fast 1
father 3
fathers 1
fear 2
fears 1
features 1
february 2
feed 1
feel 2
feeling 1
feet 1
fell 2
fellows 1
fetch 1
few 2
fight 1
fighting 2
figure 1
