1483723
/m/055167
/m/055167
Terry Goodkind
2005-01-04
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/03qfd": "High fantasy"}
a 12
able 2
about 5
advanced 1
against 1
alone 1
also 2
amnell 1
an 6
ancient 1
and 34
ann 3
answers 1
are 4
army 1
around 1
arriving 1
arrow 2
as 5
at 3
attempt 2
attribute 1
awakens 1
be 3
bearer 1
beast 3
because 1
become 1
been 3
believe 1
beware 1
blank 2
blood 2
bones 1
book 2
books 1
both 1
box 1
boxes 4
briefly 1
brought 2
buried 2
but 4
by 4
called 4
can 2
cant 1
captured 2
cara 4
carrying 1
caska 1
casket 1
cast 1
casters 1
catacombs 1
causing 1
chainfire 6
collection 1
concerned 1
confessor 1
conjured 1
continues 2
control 1
convince 2
convinced 1
convinces 1
corpse 1
created 1
currently 1
dark 4
deception 1
deep 3
delusions 1
demands 1
desperately 1
determined 1
dhara 2
dharan 3
discovered 1
discovering 1
discovers 3
discovery 1
disheartened 1
do 1
dream 3
dreams 1
effect 1
either 1
eliminates 1
emperor 2
empire 3
enemy 1
epic 1
erase 1
escape 1
escaped 1
events 1
everyone 1
everything 1
exhumes 1
existence 2
exists 2
fearing 1
figures 1
finally 1
find 6
fold 1
for 3
forces 1
former 1
four 1
fourheaded 1
free 2
from 6
fulfill 1
garden 1
gathered 1
gave 1
gift 1
girl 1
grave 1
gravely 1
group 1
has 3
have 4
he 8
heal 1
healed 1
healing 1
heals 1
her 6
herself 1
hidden 1
him 6
his 9
how 1
however 1
ill 1
imperial 4
in 17
independently 1
information 2
injured 1
injury 1
into 1
introduced 1
investigates 1
is 15
it 5
jagang 4
jillian 3
kahlan 11
keep 4
kidnapped 1
kill 1
knows 1
later 1
lead 1
leads 2
learn 2
learns 4
least 1
led 1
library 2
life 2
lives 1
locked 1
long 1
look 1
loves 1
made 1
magic 3
make 2
makes 2
manage 1
many 1
meant 1
meantime 1
memories 2
memory 3
mentally 1
midlands 1
midst 1
missing 2
more 3
mother 1
named 1
nathan 3
nations 1
nicci 10
no 3
not 1
nothing 3
now 1
oath 1
obliterate 1
odd 1
of 37
old 1
older 1
one 3
opposition 1
orden 3
order 5
orders 1
originally 1
others 3
out 2
pages 2
palace 2
passage 1
people 6
persevere 1
pet 1
place 1
play 1
plot 1
possibly 1
previous 1
previously 1
prophecy 2
protected 2
prove 2
put 1
quite 1
rahl 2
reader 2
realizes 1
relinquishes 1
remaining 1
remember 4
remembers 1
return 2
reunited 1
reveals 1
richard 26
ruins 1
ruler 1
same 3
samuel 2
scouts 1
search 1
seek 1
seem 1
seems 1
several 1
she 6
shocked 1
shota 4
should 1
sister 2
sisters 6
sliph 3
so 1
some 3
something 1
sorceress 1
spell 3
spiral 1
stabbed 1
steal 1
still 2
stolen 1
story 1
struggle 1
subtractive 3
sword 3
takes 1
teach 1
tells 1
than 1
that 22
the 79
their 3
theirs 1
them 1
themselves 1
then 2
there 4
they 7
theyve 1
time 2
to 39
together 2
took 1
tovi 4
trace 1
track 1
travel 1
tries 1
troops 1
truth 3
try 1
under 1
unforeseen 1
unintended 1
uniquely 1
unpredictable 1
unstoppable 1
up 1
upon 1
use 1
used 2
uses 2
using 2
utters 1
viper 1
walker 2
warns 1
was 6
way 4
well 1
were 1
westland 1
what 3
when 2
which 3
while 3
who 6
why 1
wife 3
will 1
witch 1
with 4
wizard 2
wizards 1
woman 3
words 1
world 1
would 1
wound 1
written 1
you 1
zedd 4
