18262197
/m/04ctcl_
/m/04ctcl_
Jodi Picoult
1993
a 5
ability 1
about 1
after 2
and 9
as 2
based 1
being 1
care 1
ceiling 1
chicago 1
child 2
childhood 3
children 1
competence 1
couch 1
doubt 1
down 1
few 1
five 1
flees 1
gets 2
goes 1
grows 1
has 1
her 11
history 1
home 2
horses 2
how 1
husband 1
in 1
journey 1
lack 1
left 1
love 1
marries 1
maternal 2
max 1
memories 1
more 1
most 1
mother 4
nicholas 1
nosebleed 1
now 1
of 5
off 1
on 3
one 1
only 1
otoole 1
own 2
paige 2
painting 1
pregnant 1
questioning 1
returns 1
revisits 1
ride 1
selfdiscovery 1
she 5
slips 1
son 1
starts 1
teaching 1
the 3
their 1
to 3
tracks 1
understands 1
up 1
vivid 1
was 1
when 1
who 1
winged 1
