17011636
/m/0415k09
/m/0415k09
Dennis Lehane
1999-11
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 15
according 1
after 2
again 1
an 2
and 9
angie 1
answering 1
apparently 1
as 1
at 3
attracted 1
baby 1
back 1
bad 1
be 1
become 1
been 3
boston 1
bubba 1
but 1
by 2
call 2
car 1
career 1
caring 1
case 1
cheap 1
client 2
clients 1
club 1
cody 1
complex 1
confronted 1
continue 1
custom 1
death 2
destroy 1
deter 1
died 1
discovers 1
dorchester 1
dressedforsuccess 1
earlier 1
embarks 1
employment 1
end 1
enough 1
events 1
experiencing 1
explosive 1
falk 3
fascinated 1
fianc 1
finds 1
firm 1
fitness 1
for 3
former 2
friend 1
from 5
gennaro 1
gone 2
guilt 1
had 10
has 2
he 2
hear 1
hed 1
her 10
herself 1
him 3
hired 1
his 4
history 1
hit 1
horrified 1
house 1
in 1
injuries 1
investigation 1
investigative 1
inviting 1
iron 1
is 3
job 1
karen 2
kenzie 9
landmark 1
large 1
later 1
leads 1
leapt 1
left 2
life 1
long 1
loose 1
lost 1
luck 1
machine 1
makes 1
manipulated 1
mastermind 1
message 1
months 1
motel 1
moving 1
neglected 1
news 1
nichols 7
notes 1
novel 1
of 8
off 1
on 3
once 1
one 1
orders 1
others 1
out 1
partnership 1
patrick 1
personal 1
pert 1
police 1
possible 1
preceding 1
predator 1
prostitute 1
purporting 1
pursuing 1
questions 1
quick 1
recall 1
recalled 1
received 1
relationship 1
restraining 1
return 1
rogowski 1
run 1
scare 1
scheme 1
search 1
several 3
she 3
shocked 1
socks 1
solo 1
some 1
someone 1
stalker 4
strungout 1
stung 1
suicide 1
suspicious 1
that 3
the 10
their 1
time 1
to 10
tower 1
turning 1
unpleasant 1
upscale 1
vindictive 1
visit 1
weeks 1
when 1
while 1
who 2
with 3
woman 2
working 2
would 1
young 2
