8210796
/m/026w9rk
/m/026w9rk
Mary Wollstonecraft

1782 1
1785 1
a 11
abilities 1
about 2
acquainted 1
act 2
adle 1
adopted 1
adult 1
affected 1
after 2
all 2
although 1
always 1
amalgam 1
an 1
and 25
are 2
as 3
assistance 1
balance 1
be 1
became 1
become 1
becoming 1
behind 1
being 1
benevolent 1
both 2
boy 1
but 4
by 4
cannot 1
caroline 3
castle 1
cautionary 1
characters 1
charitable 1
charles 5
childhood 2
conduct 1
consequences 1
consists 1
country 1
cures 1
daughter 2
de 1
death 1
demonstrations 1
desire 1
dies 1
direct 1
direction 1
distracted 1
does 1
dominates 1
easily 1
edification 1
emotion 2
emphasis 1
emphasize 1
emphasizes 1
end 1
england 1
enough 1
et 1
even 1
eventually 1
ever 1
every 1
example 2
excursions 1
failings 1
family 1
fatal 1
faults 1
feelings 2
figure 1
followed 1
for 4
forced 1
fortune 1
fourteenyearold 1
frame 1
freed 1
friend 4
from 4
full 1
genlis 1
girls 8
gone 1
governed 1
governess 2
greatly 2
greediness 1
green 1
guilt 2
had 1
have 2
he 9
help 1
helps 1
her 6
him 2
his 6
histories 1
history 1
i 1
ideal 1
illustrates 1
imbues 1
imperfections 1
imprisoned 1
in 7
indeed 1
india 1
innocent 1
insane 1
inset 2
intended 1
ireland 1
is 5
it 1
king 1
kingsborough 1
known 1
largely 1
later 1
learns 1
leaving 1
life 1
little 1
live 1
loses 1
madame 1
mansion 1
margaret 1
marriage 2
marry 1
mary 3
mason 8
maternal 1
mature 1
mean 1
mind 1
miss 1
modelled 1
money 1
moral 4
most 1
mother 1
mrs 7
named 2
narrates 1
need 1
needs 1
newington 1
not 1
novels 1
of 25
on 1
one 1
original 2
overcome 1
own 2
particular 1
particularly 1
people 2
permeates 1
permitted 1
personal 1
plays 1
present 1
prevailing 1
primarily 1
probably 1
procrastination 1
progress 1
pseudonym 1
quickly 1
rake 1
rational 1
reader 2
realworld 1
reason 2
reeducation 1
regain 1
remaining 1
required 1
rescues 1
respected 1
returns 1
right 1
rights 1
romanticize 1
ruined 1
saying 1
sent 1
series 1
she 7
sic 1
slightly 1
state 1
stories 5
story 1
strong 1
submitting 1
such 1
superstitions 1
takes 1
tale 1
tales 4
taught 1
teaching 2
tell 1
text 2
that 1
the 30
their 2
them 2
theme 1
themselves 2
these 1
they 1
this 1
thodore 1
those 2
through 1
to 12
today 1
tomorrow 1
townley 2
tragically 1
twelveyearold 1
two 2
uncommon 1
unfortunately 1
unhappy 1
vanity 1
very 1
vindication 1
virtuous 1
wants 1
was 2
when 2
which 1
while 2
whim 1
who 1
whom 1
wise 1
with 4
without 1
wollstonecraft 3
woman 1
work 1
works 1
yet 1
young 1
