8073280
/m/026qg8d
/m/026qg8d
Anne Tyler
2006-05-02
a 7
about 2
adopted 1
adoption 1
airport 1
allamerican 1
america 3
american 2
americanize 1
an 3
and 16
apparent 1
are 2
arrival 3
arrive 1
as 3
at 3
baltimore 1
because 1
become 2
becomes 1
been 1
begin 3
beginning 1
between 3
bitsy 3
bitsys 1
boundaries 1
brad 2
but 2
cancer 1
celebrating 2
celebration 1
change 1
childhood 1
children 1
choose 2
closer 1
companion 1
continue 1
continues 1
contrasting 1
couple 1
culture 2
daughter 2
daughters 4
dave 4
day 1
decides 1
dickinsondonaldson 1
differences 2
different 2
digging 1
displaying 1
each 4
early 1
efforts 1
end 1
ends 1
entire 1
especially 1
eventually 1
experiences 1
families 6
family 2
father 1
first 1
flourish 1
food 1
for 2
friends 2
from 3
gives 1
good 1
grow 1
grows 1
hand 1
has 3
help 1
her 4
him 1
his 1
how 1
impact 1
in 8
infant 1
iranian 1
iranianamerican 1
is 5
issues 1
it 1
jinho 2
keep 1
korea 1
korean 3
life 3
like 1
lives 1
loss 1
lost 1
many 1
maryam 3
maryland 1
meet 1
mix 1
mother 1
much 1
name 1
need 1
new 1
not 1
of 13
older 1
on 3
opinions 1
orderly 1
other 3
party 1
people 1
present 1
privacy 1
progress 1
raise 2
raised 1
realizes 1
recently 1
recover 1
relationship 3
relationships 1
reluctant 1
remain 1
sami 2
samis 1
separate 1
set 1
she 3
some 1
starts 1
story 3
strained 1
suburban 1
susan 2
teach 1
that 1
the 25
their 9
them 1
they 4
threat 1
through 2
throughout 1
times 1
to 12
too 1
tradition 2
two 6
up 1
very 1
way 1
who 1
widowed 3
wife 1
with 4
yazdan 1
year 2
years 1
ziba 2
