5718346
/m/0f0yvs
/m/0f0yvs
Tamora Pierce
1994-05-02
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
7 1
a 17
ability 3
about 3
afoot 1
after 4
afterwards 1
again 1
agrees 1
alamid 1
alanna 1
all 2
ally 1
also 2
an 2
and 18
animals 4
anything 2
appears 2
apple 1
approaches 1
are 3
area 1
as 2
ask 1
at 6
away 1
back 4
barrier 1
basilisk 1
basilisks 1
battle 1
be 3
become 2
being 1
biggest 1
black 1
bloodrain 1
body 1
boldly 1
book 2
bookbound 1
books 1
brokefang 2
burnt 1
but 1
by 1
called 1
can 1
carthak 2
carthaki 1
causing 2
certain 1
change 1
characteristics 1
city 1
clone 1
comes 1
creates 2
creatures 1
curious 1
daine 16
dankest 1
deal 1
decides 2
deepest 1
development 1
direct 1
disappear 1
discovering 1
discovers 1
discusses 1
do 1
dont 1
dragonet 2
dump 1
dungeon 1
dunlath 10
eat 1
elegantly 1
emperor 1
enemy 1
entire 1
everything 1
evil 1
explains 1
extreme 1
eyes 1
featured 1
fief 5
find 2
first 2
foiled 1
fond 1
for 1
friend 1
friends 2
from 6
frostfur 1
further 1
gaining 1
gets 1
gissa 1
go 1
going 1
goldenlake 1
group 1
had 1
hands 1
happen 1
has 2
have 2
he 10
help 4
her 11
him 2
himself 1
himtristaninto 1
hindlegs 1
hinted 1
his 4
human 1
hunt 1
hurt 1
idiot 1
if 1
important 1
in 15
into 5
investigate 1
is 3
isolate 1
jonathan 1
kill 1
king 1
kitten 2
knowledge 1
lady 2
lake 2
laugh 1
learn 1
learns 1
leave 1
led 1
level 1
lioness 1
living 1
lizards 1
lock 1
long 2
lord 1
mage 5
mages 2
magic 2
magical 2
makes 1
manage 1
mate 1
maura 4
meantime 1
meets 1
mess 1
messengers 1
miles 1
minds 1
moonsword 1
morph 1
most 1
much 2
must 1
named 1
natural 1
naturally 1
next 1
night 2
ninth 1
nobles 3
north 1
not 1
nothing 1
numair 10
of 17
old 2
on 4
once 1
one 1
or 1
other 1
out 1
over 1
ozorne 1
pack 1
partial 1
party 1
path 1
people 1
pieces 1
pirate 1
plain 1
plans 1
plays 1
plot 1
poison 1
power 2
powerful 1
practical 1
quarters 1
queen 1
raoul 1
reaches 1
realized 1
receives 1
recognizes 1
relies 1
remains 1
resemble 1
rethink 1
retires 1
returns 1
rider 1
rikash 1
rikashhuntsman 1
rip 1
river 2
robe 1
rocks 1
ruining 1
runs 1
salmalin 1
screech 1
seems 1
send 1
share 1
she 5
shortly 2
siege 2
simulacra 1
sister 1
situation 1
skysong 1
some 1
something 1
somewhat 1
somewhere 1
soon 1
sort 1
spy 1
squirrels 1
staghorn 1
stand 1
starts 1
stays 1
stealthily 1
stone 1
stormwing 2
stormwings 1
studied 1
study 1
stupidity 1
summons 1
swoop 1
tait 1
teacher 1
tells 2
ten 1
territory 1
than 1
that 7
the 45
their 4
them 1
then 1
theory 1
there 1
they 5
things 1
think 1
this 3
thought 1
threat 1
throughout 1
tkaa 2
to 32
too 1
tortallan 1
translates 1
tree 2
tries 1
tristan 6
turn 1
turns 2
tutor 1
unhappy 1
universe 1
university 1
upon 1
useful 1
uses 1
village 1
visit 1
war 1
warning 1
warns 1
was 3
when 1
where 3
while 1
who 5
wild 1
will 2
with 10
within 1
wolf 1
wolves 2
wooing 1
word 1
world 2
worse 1
yet 1
yolane 3
younger 1
