651802
/m/02_q08
/m/02_q08
Gregory Keyes
1998
1681 1
a 9
across 1
air 1
alchemy 1
ancient 1
and 4
apprentice 1
are 1
art 1
as 4
away 1
battle 1
be 1
before 1
benjamin 1
both 1
burning 1
but 1
by 1
calls 1
can 1
cannon 1
control 1
creatures 1
curtain 1
dangerous 1
dazzling 1
deadly 1
device 1
down 1
earth 1
elements 1
endless 1
enemyhalf 1
england 2
fire 1
first 1
for 3
four 1
france 1
franklin 1
fugitive 1
gloryor 1
half 2
he 2
heights 1
help 2
him 2
himself 1
his 2
humanity 1
isaac 2
its 1
key 1
known 1
louis 1
makes 1
manipulating 1
mankind 1
matter 1
mercury 2
mind 1
mysterious 1
named 1
new 1
newton 3
night 1
not 1
now 2
of 8
only 2
others 1
outcome 1
philosopher 2
primal 1
pursued 1
quest 1
raise 1
restless 1
rid 1
ring 1
science 1
scientist 1
scornful 1
secret 1
sir 2
sorcererben 1
source 1
stumbles 1
the 4
there 1
they 1
to 6
turns 1
unleash 1
unleashes 1
unparalleled 1
was 1
water 1
way 1
weapona 1
were 1
when 1
who 1
whose 1
will 2
world 1
xiv 1
young 1
