12056684
/m/02vnc6x
/m/02vnc6x
Jerry Spinelli
2007-06
10th 1
177 1
2 1
a 23
about 3
admits 1
all 1
alone 1
also 1
and 20
anger 1
angry 1
april 1
are 2
arguments 1
as 2
ask 1
asked 1
asks 2
at 4
away 1
back 6
bad 1
beanbag 1
beautiful 1
because 2
become 1
becomes 2
been 3
before 1
beginning 1
being 1
birthday 1
body 1
book 3
boy 1
but 3
by 3
came 1
carolyn 3
choice 1
come 1
comes 1
comic 1
commonly 1
completely 1
confessed 1
consisting 1
couldnt 1
cruiser 1
cushions 1
david 17
day 1
dead 3
death 3
defies 1
despite 1
disappointment 1
disguise 1
disguised 1
disrespects 1
down 1
duo 1
easter 1
egg 1
eggs 1
end 1
ending 1
ends 2
event 1
express 1
face 1
falls 1
family 1
father 3
feelings 1
fight 1
finds 2
first 2
floor 2
for 7
fortunetelling 1
found 1
friend 1
friends 1
from 2
get 1
girl 2
go 4
goes 1
going 1
grandmother 4
great 1
had 3
have 1
he 10
helps 1
her 10
him 2
himself 1
his 10
home 5
homeless 1
hunt 1
hunting 1
husband 1
if 2
ignores 1
in 10
infuriated 1
instead 1
into 3
is 3
it 3
john 2
journey 1
kind 1
known 1
knows 1
later 1
leaves 3
leg 1
lets 1
limpert 2
lives 1
looking 1
loss 1
loud 1
make 1
makes 2
man 5
manager 1
margaret 1
mid 1
minnesota 1
mistook 1
morning 1
mother 8
move 2
much 3
nearly 1
news 1
newspaper 1
night 4
nineyearold 1
no 5
not 1
of 7
off 1
officer 1
old 2
on 7
one 1
only 3
out 2
party 1
passed 1
passes 1
pennsylvania 1
people 1
perkiomen 1
philadelphia 2
place 1
planning 1
police 2
primrose 11
quarrel 1
quickly 1
quiet 1
reads 1
refrigerator 2
response 1
resting 1
resulting 1
reunite 1
reveals 1
rules 1
runs 1
ruthless 1
sadness 1
said 1
sales 1
says 2
scream 1
see 2
seemed 1
seen 2
sees 1
sensitive 1
sets 1
she 14
shock 1
short 1
shove 1
shoving 1
sign 1
since 2
size 1
sleep 3
sleeping 1
slip 1
slips 1
some 1
son 1
soon 1
spend 1
stairs 1
starts 1
streets 1
sue 1
suffocating 1
summer 1
sunrise 1
taking 1
talk 1
that 4
the 30
them 3
they 5
thinking 1
thirteen 2
throughout 1
time 4
to 26
town 1
township 1
trees 1
try 1
turns 1
tv 1
two 4
underneath 1
unknown 1
until 1
up 2
usually 1
van 1
verbal 1
veronica 1
very 1
waits 1
wanted 1
wants 2
wave 1
waves 3
waving 3
weekends 1
wet 2
when 5
which 1
while 1
who 5
whom 1
why 3
wishes 1
with 8
without 1
worry 1
would 1
year 2
