16712047
/m/0403yf0
/m/0403yf0
René Goscinny
1978
a 12
abode 1
accepts 1
accompanied 1
accused 1
again 1
agrees 1
alive 1
all 1
along 3
also 2
amassed 1
and 13
are 7
as 3
assumes 1
at 1
attempted 1
attempting 1
audience 1
augustus 2
averell 2
away 2
banjo 1
be 2
been 2
before 1
begins 1
believe 3
betting 3
blown 1
blows 1
brothers 7
building 2
but 1
by 4
can 5
career 1
charity 2
chosen 1
completed 2
condition 1
confirming 1
course 1
criminal 1
cross 1
dalton 9
daltons 10
dead 1
deal 1
death 1
deceive 1
decide 1
died 1
digging 1
disappearance 1
dog 1
done 2
dynamite 1
end 1
enemies 1
entered 1
entire 1
ever 1
every 1
explosion 1
far 1
find 3
finds 1
first 1
follows 1
for 1
fortune 3
found 1
four 1
french 1
from 2
gets 1
given 2
guard 1
guilty 2
had 2
hanging 1
hardware 1
has 6
have 1
having 1
he 11
head 1
heads 1
help 3
helps 1
henry 5
him 3
his 8
hold 1
honest 1
horse 1
however 4
if 4
in 4
indeed 1
informs 1
inheritance 1
instead 1
intended 1
intentions 1
into 2
is 5
it 1
jack 1
jail 4
joe 1
jolly 1
journey 1
judge 4
jumper 1
jury 5
kill 4
killed 2
killings 1
known 1
language 1
lawyer 1
leads 1
leave 1
lights 1
lucky 4
luke 12
make 2
man 1
manages 1
many 1
match 1
meet 1
merchant 2
met 1
murder 1
musician 1
must 1
named 2
nearby 1
nearest 1
nephews 3
no 1
not 1
now 2
of 9
off 1
offer 1
offers 1
officers 1
on 3
once 2
one 1
only 3
opens 1
original 1
out 2
outlaws 1
over 1
overhears 1
plains 1
plan 1
play 1
prison 4
quite 1
rantanplan 1
recovers 1
refuses 1
remains 1
returned 1
reveals 1
rin 5
ruse 1
said 1
saloon 1
search 1
seeing 1
sentenced 1
share 1
so 1
some 1
sooner 1
states 1
still 1
stolen 1
stops 1
storage 1
story 1
successfully 1
supervise 1
sure 1
suspects 1
sworn 1
tale 1
talk 1
target 1
task 3
tell 1
than 1
that 11
the 49
their 7
them 5
then 4
they 7
thought 1
thrown 1
time 1
times 1
tin 5
to 22
town 1
travelling 1
trick 1
tunnel 1
uncle 1
up 3
upon 1
version 1
victims 1
waiting 1
was 2
well 2
western 1
when 4
where 1
who 3
will 3
william 1
with 6
witnessed 1
young 1
