4482189
/m/0c4xbl
/m/0c4xbl
Beatrix Potter
1907
a 6
about 2
affronted 1
again 1
all 1
along 1
am 1
an 1
and 22
approaches 1
are 2
arrive 2
articles 1
as 2
ascent 1
author 1
back 2
be 1
bed 1
bedroom 2
been 1
before 1
begins 1
bonnet 1
book 1
breaking 1
burst 1
bursts 1
but 2
buttered 1
buttons 3
by 1
chest 1
children 2
clean 2
climb 1
clothes 2
clothing 5
come 1
company 1
complete 1
day 1
depicts 1
descending 1
difficult 1
dignity 1
discovers 1
dishevelled 1
disorder 1
disturbed 1
doorstep 1
drake 1
drawers 1
dress 2
dresses 1
dropped 1
ducks 1
dust 1
elegant 1
ever 1
expects 1
extraordinary 1
fat 1
feline 1
ferns 1
fetches 1
fine 1
fit 1
for 3
friends 2
frocks 1
from 1
gaining 1
garden 2
grass 1
grooms 1
guests 1
has 1
hat 1
have 3
he 4
help 1
her 6
him 2
himself 1
his 6
hot 1
house 1
however 1
i 1
illustration 1
in 11
indoors 1
interrupts 1
into 1
invites 1
is 4
jemima 1
just 1
keep 2
kitten 1
kittens 6
larger 1
last 1
left 1
looking 1
lose 2
loses 1
lost 1
make 1
makes 1
marching 1
measles 1
minute 1
mittens 3
moppet 4
more 1
mother 4
mr 1
mrs 1
my 1
naughty 1
ndash 3
no 1
noises 1
not 1
of 11
off 2
on 4
out 1
overhead 1
paddle 1
pages 1
party 2
pat 4
picks 1
pinafores 2
pit 2
playful 1
playing 1
pond 1
promise 1
puddleduck 2
puddleducks 2
pull 1
pulls 1
put 1
puts 1
reaches 1
reader 1
rebeccah 1
repose 1
rest 2
returns 1
right 1
road 2
romp 1
says 1
scratches 1
seen 1
sends 1
set 1
several 1
sews 1
she 7
shedding 1
siblings 1
since 1
sisters 1
smacks 1
smeared 1
so 1
some 3
soon 1
sorts 1
stains 1
tabitha 5
taken 1
takes 1
tale 1
tea 2
tells 2
the 36
their 5
them 9
then 1
they 2
three 4
time 1
to 9
toast 1
together 1
tom 9
top 2
try 1
tuckers 1
tumbling 1
turns 1
twitchit 1
uncomfortable 1
up 2
upon 1
upstairs 1
various 1
very 2
waddle 1
wall 5
wash 1
way 1
when 1
while 2
will 2
with 4
work 1
you 1
