33141119
/m/0h678dc
/m/0h678dc
Charlie Higson

{"/m/01jfsb": "Thriller", "/m/03mfnf": "Young adult literature"}
2 2
3 1
5 1
5story 1
a 37
abandon 1
abandons 1
able 1
about 5
accepts 1
accidentally 1
adds 1
advantage 1
after 3
afterwards 1
against 1
agree 1
agrees 1
aherne 1
al 3
alfie 6
all 4
alliance 2
also 2
ambushed 1
amount 1
an 3
and 50
apartment 1
are 13
army 4
arran 1
arrives 1
as 13
asks 2
at 16
attacked 1
away 1
back 3
bandaged 1
bandit 1
basement 4
basically 1
battle 1
bay 1
be 2
been 1
before 4
begin 1
begins 1
behind 1
being 5
betraying 1
bitten 1
blame 1
bloodied 1
blue 1
book 1
boxes 1
boy 3
boyfriend 1
breaking 1
brief 1
broke 1
brooke 4
brother 3
brutal 1
buckingham 4
build 1
building 2
bunnies 2
but 7
by 17
callum 1
calms 1
can 1
captured 1
captures 1
carrying 1
causes 1
causing 1
chapter 1
chased 1
children 4
chris 1
city 1
coax 1
collection 1
collector 9
collects 2
concussion 1
condition 1
conditions 1
continue 1
convinces 2
corner 1
could 1
couple 1
courtney 3
crazed 1
creating 3
crew 4
cross 1
cure 1
david 9
day 2
days 1
dead 1
deal 1
death 3
decides 2
denied 1
described 2
determined 1
die 1
discover 1
discovers 2
disease 2
dognut 11
down 1
dozing 1
due 1
during 1
duty 1
each 1
elections 1
emirates 1
encountered 1
encounters 1
end 3
ends 1
enemy 5
entry 1
escape 2
escaped 1
escapes 1
escaping 2
escorting 1
every 1
everyone 4
except 1
excrement 1
expedition 1
experiments 1
explains 1
exposed 1
exposing 1
extremely 1
fake 1
far 1
fear 1
felix 2
feudalistic 1
fight 1
fights 1
fill 1
find 4
finds 3
finn 2
fire 1
first 1
fixed 1
flesh 1
focus 1
follow 1
food 1
for 10
form 1
found 3
friend 1
friends 2
from 5
fully 1
gang 1
george 5
get 1
gets 3
girl 2
gives 1
go 2
going 1
good 1
government 1
group 21
groups 1
guide 1
gym 2
harder 1
has 1
have 1
having 1
he 19
head 4
heavily 1
helping 1
her 4
here 1
hiding 1
high 1
him 10
himself 3
his 16
history 1
hit 1
holloway 2
house 4
houses 1
however 2
hunters 2
hysterical 1
if 1
immediately 1
imperial 1
imprison 1
in 27
included 1
including 2
increases 1
inquiries 1
insane 1
instead 1
interrupted 1
into 3
introduces 1
investigate 1
involves 1
is 31
isnt 1
it 4
jackson 3
james 2
jamie 2
jessica 2
jester 11
john 1
join 4
joins 1
journey 1
junk 1
just 2
justin 3
kate 4
kid 1
kids 1
kill 7
killed 5
kills 1
king 1
kings 1
know 1
known 2
lair 2
laments 1
land 1
large 3
larger 1
later 2
leader 2
learn 1
learns 1
leaves 1
leaving 1
led 1
left 1
lets 1
levels 1
liar 1
library 1
light 1
lights 1
like 1
likely 1
lives 2
living 1
locked 1
london 4
longer 1
looking 2
lorry 2
lost 1
lower 1
mainly 2
make 1
manage 1
manages 1
marco 2
maria 1
maxie 1
may 1
maze 1
meanwhile 2
meet 2
meets 1
men 2
mental 1
mercenaries 1
mind 1
monster 1
more 2
morning 1
morrison 1
most 1
movement 1
much 2
museum 12
named 3
natural 1
nature 1
nearby 1
new 1
newspapers 1
next 1
nicola 3
night 2
none 1
north 1
noting 1
number 1
numbers 1
obtain 1
of 35
off 3
officially 1
olivia 7
on 4
one 2
onearmed 1
only 2
onto 1
operate 1
organised 1
other 1
others 1
out 6
over 1
own 1
palace 7
paranoid 1
paraphernalia 1
park 2
parliament 2
part 1
passes 1
paul 10
persuaded 1
physical 1
piled 1
place 1
plan 2
plans 1
plotting 1
pose 1
possibility 1
preapocalyptic 1
preparing 1
process 1
prologue 1
proposes 1
quatters 1
quick 1
quiet 2
ramshackle 1
rapidly 1
realises 1
realising 1
recruit 2
referred 1
refers 1
refuge 2
release 1
reluctant 1
removing 1
rescued 1
residing 1
resistance 1
rest 1
results 1
return 1
returning 2
returns 1
reunited 1
revealed 1
reveals 1
revenge 1
righthand 2
road 1
roam 1
robbie 5
row 1
rubbish 1
run 2
runs 1
ryan 2
sam 2
samples 1
savagely 1
saved 1
scared 1
scouting 1
scouts 1
secretly 2
security 1
seems 1
sees 2
set 1
settlement 2
shadowman 9
she 7
shifts 1
shows 1
sick 1
sicko 2
sickos 15
sign 1
similar 1
single 1
sister 3
sleep 1
slight 1
small 3
smarter 1
so 1
some 1
speed 1
spies 1
split 1
spot 1
st 7
stadium 2
stands 1
starts 1
state 1
station 1
stay 2
stays 1
step 1
still 1
story 2
struggle 1
subjects 1
suddenly 1
sunlight 4
supermarket 2
take 2
taken 1
takes 1
taking 2
tell 1
tells 2
tesco 1
test 1
than 1
that 17
the 108
their 7
them 9
then 4
they 19
theyve 2
thing 1
think 1
this 3
threat 1
threaten 1
through 1
throughout 1
time 1
titles 1
to 53
together 2
told 3
tom 4
too 2
tour 1
tower 5
toys 2
tricks 1
trip 1
turning 1
turns 1
under 1
undergroundarrive 1
until 5
up 10
upon 2
upriver 1
uv 1
various 1
visits 1
waitrose 1
wakes 1
walking 1
war 1
was 4
watching 1
way 1
weapons 1
well 1
went 1
were 2
when 2
where 9
which 3
while 3
who 19
wishes 1
with 12
without 2
woken 1
wont 1
write 1
writing 1
