230419
/m/01hjbv
/m/01hjbv
Thomas Browne


1658 1
2006 1
2012 1
a 3
abruptly 1
against 1
alice 1
all 2
alludes 1
also 1
altered 1
an 3
and 9
are 1
art 1
artistic 1
as 6
author 1
baffled 1
be 2
because 2
been 3
being 1
books 1
breathless 1
browne 2
but 1
carroll 1
century 2
companion 1
conjuring 1
consciousness 2
considered 2
constant 1
continue 1
continued 1
could 1
crabbed 1
critical 1
cyrus 6
determined 1
developed 1
difficult 1
difficulty 1
diptych 1
directions 1
discourse 2
draught 1
due 1
early 1
editions 2
editorial 1
english 1
error 1
esoteric 1
europe 1
even 2
evidence 2
examination 1
example 1
fantastic 1
faster 1
fiction 1
firstly 1
five 1
for 1
fractured 1
frequently 1
from 5
g 1
garden 5
general 1
geometrizes 1
god 1
h 1
has 4
haste 1
hastily 1
hermetic 1
hermeticism 1
highly 1
his 1
how 1
however 2
idiosyncratic 1
if 1
imagery 1
images 1
imagination 1
important 1
in 8
incontrovertible 1
individuals 1
intentions 1
invites 1
is 5
isolated 1
it 5
its 4
itself 1
jotted 1
jottings 1
known 1
late 1
learning 1
lewis 1
life 1
literary 1
literature 1
little 1
littleknown 1
major 1
manuscripts 1
many 2
may 2
midseventeenth 1
modern 1
most 2
namely 1
nature 1
near 1
new 2
nineteenth 1
not 2
notebook 1
notes 1
now 1
number 1
objects 1
obscure 1
of 21
omitted 2
one 1
or 1
passages 1
pattern 2
pen 1
penguin 1
perpetuate 1
perspective 1
philosophy 1
physicianphilosopher 1
possibly 1
primarily 1
procession 2
prose 1
publications 1
publishers 1
publishing 1
purple 1
quincunx 2
rapid 1
read 1
reader 1
readers 1
reality 1
reason 1
reasons 1
reinforcement 1
remains 1
reputable 1
reveals 1
review 1
science 1
second 1
share 1
sheer 1
stream 1
style 1
stylistically 1
sublime 1
subscribe 1
such 1
symbols 1
tenets 1
text 1
than 1
that 2
the 20
there 1
therefore 1
this 1
though 1
throughout 1
thus 1
to 9
totally 1
trend 1
twentieth 1
two 1
uncharacteristic 1
understood 1
unlike 1
upon 1
urnburial 1
veers 1
vertiginous 1
via 1
visual 2
well 1
wellsthe 1
were 2
what 1
which 1
why 1
with 3
wonderland 1
work 1
works 1
write 1
writing 1
written 1
york 1
