5331428
/m/0df_b_
/m/0df_b_
Terrance Dicks

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 15
abandoned 1
about 2
accepts 1
act 1
advisor 2
after 5
against 1
all 1
alliance 1
alliances 1
almost 1
already 1
also 1
ambassadors 1
an 2
and 29
animal 1
antidote 1
are 2
area 1
arm 3
army 7
around 1
arrive 5
arrives 1
as 8
assistant 1
attacked 1
attacks 1
avoid 1
awaiting 1
aylmer 1
back 1
battle 1
be 2
become 1
been 1
begins 1
best 1
between 1
bodies 1
body 3
borusa 3
brain 1
brings 1
bug 1
but 13
by 3
campaign 1
captured 1
case 1
causing 1
cell 1
chamber 1
commander 1
commanders 1
complains 1
comprising 1
conference 3
continues 1
convinces 2
coordinator 1
cybermen 1
dead 1
death 1
decides 1
defeat 2
defending 2
delmar 3
destroyed 2
did 1
different 1
directly 1
discover 1
disease 1
dismisses 1
doctor 26
does 1
done 1
draconians 1
drago 3
easily 1
elixir 3
empires 3
ensign 1
escape 1
escapes 1
eventually 2
execution 2
experiments 2
fails 1
fetches 1
finally 1
finds 3
flagship 1
flame 1
following 1
follows 1
foot 1
for 2
forces 2
fourth 1
free 1
freedonia 1
from 7
full 1
galaxy 3
gallifrey 1
gallifreyan 1
gathering 1
general 4
gives 1
goes 3
ground 1
group 1
grows 1
guerrillas 1
harassing 1
has 2
have 1
hawken 2
he 4
head 1
help 1
her 6
him 3
himself 1
his 10
home 1
hospice 4
hospices 1
hosting 1
huge 1
ice 1
imprisoned 2
in 8
infectious 1
initially 1
injects 1
interference 1
interfering 1
into 4
invades 1
invites 1
involved 1
is 17
it 4
jane 1
join 3
joins 1
just 1
karn 4
keeps 1
kidnaps 1
killed 1
known 1
largest 1
later 2
launched 1
leads 1
leaves 3
leaving 1
liberated 1
life 3
listening 1
lord 5
lords 3
made 1
make 1
manages 1
maren 3
meeting 1
mehendri 1
mind 1
morbius 14
mother 1
nearest 1
nearly 1
needs 1
not 1
notices 1
number 1
of 18
ogrons 1
on 6
one 2
order 1
out 2
over 1
overhearing 1
overpower 1
owner 1
paradox 1
parts 1
peace 2
peri 14
persuade 1
plan 1
planet 4
planets 3
plans 1
pod 1
poison 1
president 1
pretending 1
proceeding 1
project 1
protecting 1
put 1
puts 1
quietly 1
reattach 1
recaptured 1
recognises 1
refuse 2
refuses 1
rejecting 1
removing 1
resumes 1
retreat 1
return 1
reunited 1
reveal 1
reveals 1
reverend 1
room 5
sarah 1
saran 3
second 1
secretly 1
security 1
see 1
send 1
sentenced 1
set 1
severed 1
she 5
ship 2
sisterhood 3
skin 1
small 2
smaller 1
smith 1
so 1
soldiers 1
solon 14
solons 1
sontarans 1
soon 1
space 1
species 1
starts 1
steal 1
steps 1
stop 1
stops 1
successfully 1
suggests 1
supreme 1
surgeon 1
survivors 1
sylvana 5
take 1
takes 3
tardis 1
tells 1
temple 1
that 5
the 75
their 2
them 3
then 4
they 5
this 1
threatens 1
time 5
title 1
to 37
tried 1
tries 1
troops 1
unite 1
unleashes 1
until 1
up 1
vaporisation 1
vaporise 1
vidal 1
waits 1
warlord 1
warn 1
warns 1
warriors 1
wary 1
watch 1
what 1
when 2
where 1
which 3
while 2
wild 1
with 4
withdraws 1
work 1
worries 1
years 1
z 1
zombies 1
