34330358
/m/0hzn7gd
/m/0hzn7gd
Michael Nielsen
2011-10
a 2
academic 2
access 1
all 1
allen 1
among 1
and 3
appendix 1
architecture 1
arxiv 1
as 1
attention 1
book 1
brain 1
by 2
challenge 1
chapters 1
chat 1
citizen 1
collaboration 1
collaborative 1
collective 2
communication 2
complexity 1
computer 1
contest 1
crowds 1
democratizing 1
digital 1
discovery 2
discussion 1
doing 1
don 1
ebird 1
economic 1
expert 1
foldit 1
following 1
for 1
galaxy 1
genome 1
google 2
groups 1
history 1
human 1
imperative 1
in 3
influenza 1
initiative 1
innocentive 1
institute 1
intelligence 2
is 1
journal 1
kasparov 1
knowledge 1
limits 1
linux 1
list 1
literaturebased 1
major 1
make 1
mathworks 1
network 1
observatories 1
ocean 1
of 8
online 4
open 5
particularly 1
patterns 1
paul 1
plos 1
polymath 1
potential 1
praxis 1
predicting 1
problem 1
programming 1
project 2
projects 1
publishing 2
r 1
reform 1
reinventing 1
restructuring 1
science 7
scientists 1
seabright 1
searches 1
sky 1
sloan 1
small 1
smarter 1
solved 1
spires 1
stasser 1
studied 1
survey 1
swanson 1
the 12
theory 1
titus 1
tools 1
topics 1
translate 1
us 1
various 1
versus 1
wikipedia 1
wisdom 1
with 1
world 2
zoo 2
