29179339
/m/0dlnqh3
/m/0dlnqh3
Rick Riordan
2011-10-04
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 13
accepted 1
achilleslike 1
across 2
actually 1
after 4
again 1
aka 1
alaska 4
alcyoneus 5
allknowing 1
allseeing 1
always 1
amnesiac 1
an 2
and 29
angelo 1
animal 1
annabeth 2
any 1
anything 1
appears 1
are 1
army 1
arrival 1
as 7
asphodel 1
at 3
attacks 3
avenge 1
back 2
battle 2
be 3
beats 1
before 1
begins 1
being 1
bit 1
blood 1
border 1
born 1
both 2
bring 1
broken 1
bump 1
burns 1
but 2
by 7
caldecott 2
calls 1
camp 9
can 2
canada 1
cannot 1
capture 1
capturing 1
carry 2
caught 1
chains 3
challenges 1
chase 1
chased 1
chooses 1
claims 1
cohort 2
collapsing 1
controls 1
cross 1
crossing 1
day 1
dazes 1
dead 1
death 2
decide 1
defeat 1
defeated 1
demigod 1
demigods 3
depends 2
destroy 1
di 1
dies 1
discover 1
disguised 1
drag 1
drink 1
drowning 1
due 1
duel 1
during 1
dying 1
each 1
eagle 2
edge 1
ella 2
end 1
ends 1
energy 1
escape 1
eventually 1
except 1
family 2
fend 1
fields 1
fifth 1
fight 1
fighting 1
fights 2
finally 1
find 1
fire 1
firewood 3
for 3
frank 13
free 2
from 2
future 1
gamble 1
games 3
get 1
ghost 2
giant 4
giants 1
girl 1
girlfriend 1
gives 1
glacier 2
god 2
goes 1
gorgon 2
gorgons 1
greek 1
groups 2
happy 1
harpy 1
has 1
hazel 12
he 11
head 1
heals 1
hell 1
help 3
her 2
herself 1
him 10
his 10
hope 1
hopes 1
how 1
hubbard 1
iceberg 2
if 1
importantly 1
imprisoned 1
in 7
inform 1
inhabitants 1
instead 1
into 4
introduce 1
invulnerabilityor 1
is 6
it 1
jackson 1
juno 3
jupiter 2
just 1
keeps 1
kill 1
kills 2
lady 1
leaders 1
learn 1
learns 1
left 1
legion 5
let 1
levesque 1
life 4
little 1
live 1
location 2
long 1
lose 1
made 1
man 1
manages 2
mars 1
medusa 1
meet 1
meets 1
melted 1
melting 1
memories 1
memorize 1
monsters 1
most 1
mrs 1
named 3
names 1
nearing 1
neptune 1
nico 1
night 1
no 1
of 26
off 1
old 2
oleary 1
on 5
one 2
only 1
oppose 1
options 1
originally 1
other 3
out 1
outdistance 1
part 1
past 1
people 1
percy 16
persuades 1
phineas 5
piece 1
pocket 1
point 1
polybotes 3
poseidon 1
power 1
praetor 2
prepare 1
prior 1
pursuing 1
quest 2
reach 1
reads 1
regains 1
remaining 1
renewed 1
rescued 1
resolves 1
responsible 1
rest 2
retreat 1
reveal 1
reveals 3
reyna 1
rising 1
river 3
riverthough 1
roman 5
rush 1
safety 1
scroll 1
sea 1
seeing 2
sees 1
senate 1
sends 1
seventy 1
shape 1
she 5
shifting 1
since 1
sister 1
sisters 1
slams 1
so 1
son 2
sponsors 1
standard 2
started 1
starts 1
statue 1
stopped 1
story 1
stumbles 1
supposed 1
sword 1
tells 1
terminus 2
thanatos 4
that 8
the 65
their 3
them 4
then 7
there 1
they 7
through 2
tiber 1
to 30
trio 3
trust 1
tunnel 2
two 4
tyson 1
unless 1
up 3
upon 1
use 1
using 1
vial 1
victory 1
video 1
wake 1
want 1
war 1
warns 1
was 5
way 1
weapon 1
when 4
where 3
which 2
while 3
who 6
will 2
with 6
without 1
world 1
years 1
zhang 1
