2279237
/m/070dm5
/m/070dm5
Roger Zelazny
1982
a 4
accepts 1
agrees 1
aid 1
an 1
and 4
as 1
asked 1
away 1
be 1
been 1
billy 7
but 1
captor 1
cat 7
caught 1
chance 1
chindi 1
condition 1
creature 1
day 1
die 1
does 1
encouraging 1
evade 1
eventually 1
fatalistic 2
final 1
flee 1
for 1
foreknowledge 1
former 1
from 1
galaxy 1
given 1
growing 1
had 1
has 1
he 4
help 1
him 1
his 6
however 1
hunt 1
hunter 2
important 1
in 2
increasingly 2
is 2
kill 1
known 1
leading 1
let 1
location 1
mind 1
mission 2
most 1
museum 1
must 2
navajo 1
needs 1
no 1
of 2
offer 1
offers 1
on 1
once 1
only 1
originally 1
over 1
personal 1
political 1
primitive 1
protect 1
reading 1
realizes 1
reconcile 1
refuses 1
remains 1
returns 1
roots 1
seek 1
singer 1
skill 1
skilled 1
so 1
specialized 1
story 1
struggle 1
technology 1
telepathic 1
that 2
the 9
thus 1
time 1
to 10
trapped 1
turns 1
up 1
use 1
when 1
whom 1
wish 1
with 2
