4910968
/m/0ctszn
/m/0ctszn
Dean Koontz
1993
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
10s 1
a 5
after 2
age 1
an 1
and 6
attitude 1
be 1
casual 1
chaos 2
chase 1
cherishes 1
connie 5
cop 1
dead 1
degenerate 1
denizen 1
desk 1
does 1
doesnt 1
embraces 1
encounters 1
exact 1
filthy 1
for 1
get 1
gulliver 2
gunman 1
harry 7
have 1
he 3
her 3
him 3
his 1
hoppedup 1
hours 1
in 3
into 1
is 5
it 1
justify 1
lack 1
law 1
life 2
like 1
look 1
loves 1
lyon 1
messiness 1
modern 1
nightmare 1
not 1
of 7
often 1
ominously 1
opposite 1
or 1
order 1
orderly 1
out 1
partner 1
people 1
polish 1
ragclad 1
reasons 1
regain 1
restaurant 1
says 1
seems 1
she 1
shootout 1
shortly 1
sixteen 1
social 1
someone 1
sometimes 1
streets 1
struggling 1
surreal 1
surrender 1
swiftly 1
take 1
tells 1
terror 1
that 2
the 11
ticktock 2
times 1
to 5
towards 1
tradition 1
trapped 1
understand 1
undertow 1
urges 1
view 1
violence 1
when 1
who 2
with 1
world 1
youll 1
