12440305
/m/02w5yrd
/m/02w5yrd
Daniel Silva

{"/m/01jfsb": "Thriller"}
a 18
abandons 1
aboard 1
about 1
abroad 1
act 1
adopted 1
after 1
against 2
agent 1
agents 2
alhourani 1
alkhalifa 2
all 1
allon 1
also 5
although 2
an 3
ancestors 1
and 32
anniversary 1
another 1
answers 1
anticipates 2
arab 1
arafat 5
arafats 2
archeological 1
archeologist 1
are 1
ari 3
aris 1
arrangements 1
art 1
arwish 2
as 6
assigns 1
associate 1
at 3
attack 4
attacks 4
attributes 1
became 1
because 2
begins 1
behind 1
beit 1
benefit 1
black 1
bomb 3
bombers 1
bombing 4
brutal 1
bugs 1
but 1
butterfly 1
by 1
cairo 1
came 1
can 1
car 1
carefully 1
cd 1
chiara 4
child 1
clandestine 1
close 1
collaborator 2
come 1
commemorate 2
communicate 1
compound 1
concludes 1
confirms 1
connects 1
consents 1
constructed 1
contacts 1
control 1
crime 1
current 1
curtail 1
days 1
de 2
decides 1
demands 1
descendant 1
determine 1
did 1
die 1
dina 5
direction 1
director 2
discovers 1
dissolve 1
each 1
egypt 1
embassy 3
end 1
escorts 1
european 1
evasive 1
event 1
excavation 1
fact 1
father 1
fellow 1
female 1
ferrere 1
fidelity 1
fiftieth 1
filled 1
first 1
for 7
force 1
former 1
france 1
french 1
from 3
gabriel 27
gabriels 2
gare 2
girlfriend 1
grew 1
hands 1
has 2
he 7
her 1
herself 1
hidden 1
highly 1
him 2
himself 1
his 9
hit 1
homeland 1
hometown 1
however 2
identity 2
ideologies 1
idf 1
imminent 1
important 1
in 7
including 2
indeed 2
informant 1
information 1
instructions 1
instructs 1
intelligence 2
intercepts 1
into 3
introduced 1
investigate 1
investigation 1
is 1
israel 6
israeli 5
israels 1
italian 1
its 1
khaled 11
khaleds 10
killed 1
kills 2
known 1
late 1
later 1
lead 1
leads 1
leah 5
leak 1
learn 1
learns 2
leave 1
led 1
legendary 1
lev 4
lies 1
life 3
link 2
lives 1
locates 1
long 1
longer 1
lyon 2
mahmoud 1
maimed 1
man 1
marriage 1
marry 1
marseilles 2
martineau 1
masterminded 1
matches 2
meant 1
meet 1
meeting 1
meets 2
member 1
message 1
messages 2
mimi 2
most 1
motive 1
mukataa 1
murder 1
murders 1
must 1
mysterious 1
never 1
new 1
next 1
no 1
number 1
of 22
office 5
officestruggle 1
officially 1
on 1
once 1
only 2
operations 2
opposing 1
or 1
organizer 1
organizes 1
other 1
out 1
outside 1
own 1
palestinian 4
palestinians 1
parisian 1
paul 1
phone 4
photographs 1
piece 1
pin 1
plan 2
plans 1
plo 1
points 1
polyglot 1
precise 1
press 1
presses 1
proposes 1
prosperous 1
protection 1
psychiatric 1
put 1
raising 1
random 1
reader 2
realizes 1
recent 3
recognize 1
recommends 1
regains 1
regularly 1
rejoin 1
relatives 1
relay 1
reluctantly 1
remain 2
renowned 1
rescues 1
research 1
resented 1
restoration 1
reticent 1
return 1
returns 3
rimona 1
rome 1
sabri 1
safe 1
safely 1
save 1
saved 1
sayeed 1
seconds 1
secret 1
seeks 1
seem 1
seemingly 1
sees 1
sensitive 1
september 1
series 1
servicebetter 1
settle 1
shamron 5
she 2
ship 1
so 1
social 1
son 2
southern 1
spare 1
station 1
still 1
such 1
suffers 1
suggests 1
tariq 1
team 3
terror 2
terrorist 1
terrorists 1
that 15
the 38
their 2
them 1
then 1
there 1
they 1
thirteen 1
though 1
three 1
through 2
thus 1
ties 1
time 1
to 32
too 1
traditionally 1
train 1
trap 1
trauma 1
travels 1
twentyeight 1
two 1
ultimately 1
uncovers 1
under 2
underway 1
until 1
up 1
uses 1
venice 1
visible 1
voice 1
warlords 1
was 1
well 1
whereabouts 1
whose 1
wife 1
will 1
with 6
within 1
work 2
worked 1
yaakov 2
yasser 2
years 1
yonatan 1
yossi 1
zolli 1
