659666
/m/030j6c
/m/030j6c
Robert Silverberg
1972
a 6
academic 1
accepted 1
affairs 1
aftermath 1
agree 1
an 1
and 5
are 1
arizona 1
as 3
athlete 1
back 1
be 1
been 1
bestow 1
between 1
bizarre 1
book 2
boys 1
but 1
career 1
college 1
comes 1
complete 1
completing 1
concerns 1
confession 1
confronts 2
could 1
dealing 1
demons 1
desert 1
destroy 1
die 1
discover 1
discovered 1
each 2
eli 1
face 3
family 1
farm 1
for 2
forth 1
four 3
from 2
gifted 1
group 1
guilt 1
has 1
have 1
himself 1
his 7
homosexual 1
immortality 1
in 3
inept 1
initiation 1
innermost 1
involving 1
is 1
kid 1
living 1
makes 1
man 1
manuscript 2
masterworks 1
members 1
monastery 2
monks 1
must 4
narrative 1
nature 1
ned 1
of 10
oliver 1
on 2
one 2
openly 1
order 2
other 1
others 1
over 1
own 1
part 1
past 1
personal 1
plot 1
power 1
prodigal 1
receptacle 1
republished 1
rite 1
ritual 2
sacrifice 1
sacrificed 1
series 1
sf 1
side 1
sin 1
sister 1
skulls 2
socially 1
son 1
star 1
students 2
succeed 1
switches 1
terrible 1
that 2
the 22
their 1
they 1
those 1
timothy 1
to 6
told 1
tracks 1
tragic 1
travel 1
true 1
two 1
undergo 1
viewpoints 1
way 1
wealthy 1
where 1
who 5
whose 1
with 2
wrong 1
young 1
younger 1
