10214293
/m/02q5d_l
/m/02q5d_l
Samuel Beckett
1956
1230 1
161 1
a 41
abortive 1
about 6
abrasively 1
accent 3
actually 2
admirer 1
admires 1
admits 1
advances 1
afraid 1
after 8
afterwards 1
again 2
age 1
all 11
almighty 1
almost 1
alone 4
along 1
aloud 1
already 1
also 6
an 8
and 33
angry 1
animals 1
answer 1
answering 1
anticlimax 1
any 2
anymore 1
anything 2
apparent 1
applying 1
approaches 1
are 12
as 13
ask 2
asked 1
asking 1
asks 4
assistance 1
assume 2
assumed 1
at 12
attempt 1
attention 1
authors 1
avoid 1
away 2
awkward 1
back 1
ball 1
barrell 1
barrells 1
be 5
bear 1
because 2
beckett 6
becomes 2
bed 1
been 3
before 1
begin 1
behind 1
being 4
believe 1
bell 1
below 1
bemoans 1
benchmark 1
bent 1
beset 1
best 2
better 1
billie 2
birthday 1
blind 1
boghill 1
born 1
both 3
bowed 1
boy 6
boyle 2
briest 1
brings 1
builds 1
burst 1
but 10
by 12
calls 3
calm 1
can 1
cancelling 1
cant 1
capacious 1
car 1
carriage 1
carrier 1
carry 1
cart 1
case 1
cases 1
catches 1
caught 1
cause 1
central 1
certainly 1
chamber 1
change 2
character 1
chases 1
chides 1
child 5
childlessness 1
children 3
choke 1
christy 2
clegtormented 1
clerk 1
cliff 1
climb 2
climbers 1
climbing 1
clue 1
cohn 1
come 2
comes 1
comforted 1
coming 1
comment 3
compares 1
compartment 1
compensate 1
compete 1
condescends 1
condition 1
confesses 1
connollys 1
cons 1
considers 1
consult 1
contend 1
continued 1
country 1
countryside 1
couple 2
covers 1
creatures 1
crescendo 1
crowd 1
crucially 1
crucifying 1
cry 1
cure 1
cycle 1
dan 8
danger 1
dans 1
daughters 1
days 2
death 4
decides 1
delayed 2
demands 1
demise 1
descend 1
despite 2
details 1
deteriorated 1
devoid 1
did 2
didnt 1
die 2
died 2
dies 1
difficult 1
difficulty 2
digresses 1
discuss 1
discussion 1
distance 2
distracts 1
do 4
doctor 2
doctors 1
does 2
doesnt 3
doing 1
done 1
dont 4
door 1
down 4
dressing 1
drives 1
dropped 1
due 2
dung 1
dust 1
dying 1
each 3
earlier 1
effi 1
else 1
emphasized 1
encounter 1
encounters 2
end 2
endures 1
enduring 1
engine 1
eulogise 1
even 1
eventually 1
ever 1
exist 1
exits 1
explain 1
explosiveness 1
extricate 1
faced 1
fact 2
failed 1
fair 1
fall 2
fat 1
father 1
fear 1
fee 1
feels 1
fell 1
female 1
females 1
find 1
finds 2
fine 1
fire 1
first 3
fitt 4
five 1
flat 3
focuses 1
foot 1
for 12
forced 1
forces 1
foreshadowing 2
frock 1
from 6
further 1
gave 1
gearbox 1
gents 1
get 1
gets 1
getting 1
girl 3
girls 1
give 1
given 1
go 1
god 2
goes 2
going 1
gown 1
gritty 1
groans 1
gun 1
had 11
hand 1
hands 1
happened 1
happy 2
has 13
have 4
having 2
he 22
head 3
heads 1
health 1
hear 3
heard 3
hears 1
help 1
helps 1
hen 1
her 29
here 1
herself 1
him 12
himself 1
hinny 2
his 27
home 3
honestly 1
house 2
how 2
however 2
humming 1
husband 6
husbands 2
hymn 1
i 7
if 4
ignored 1
im 1
imagines 1
immersed 1
important 1
impulse 1
in 29
inconvenient 1
indicates 1
insists 1
inspired 1
irish 4
is 43
it 17
its 2
jeer 1
jerry 6
jokes 1
journey 2
june 1
just 2
kay 2
kill 1
kills 1
kind 1
knocked 1
know 4
known 1
knows 1
laburnum 2
laconic 1
lastly 1
late 1
lateness 1
laugh 1
laughing 1
learned 1
learning 1
least 1
leave 1
leaving 1
lecture 1
led 1
left 1
lethal 1
level 1
life 2
like 2
limousine 1
line 1
listens 1
little 5
load 1
locomotion 1
loquacious 1
lord 2
loss 1
lusitania 1
lynch 1
maam 3
maddy 18
maddys 2
made 2
magnify 1
maiden 1
mail 1
maintains 1
make 1
makes 1
making 1
male 1
man 2
manage 1
mans 1
mass 1
matterhorn 1
me 4
means 2
meeting 1
men 1
mention 1
mentioned 3
middle 1
mind 2
mine 1
minnie 3
misery 1
misfit 1
miss 4
modes 2
moments 1
monday 1
more 1
morning 1
mountain 1
mountainous 1
move 1
moves 1
mr 9
mrs 1
mud 1
murmurs 1
music 3
must 1
myself 1
name 1
near 1
need 1
needs 2
negatives 1
neighbours 1
never 2
new 1
no 10
noise 1
noon 1
normally 1
not 6
notes 1
nothing 1
notice 1
now 3
of 37
off 6
offer 1
office 1
oftmentioned 1
old 6
on 11
once 2
one 6
ones 1
only 2
onto 1
open 1
opening 2
operation 1
or 3
out 3
outspoken 1
over 1
overwhelmingly 1
own 2
panics 1
particularly 1
partly 1
passed 2
passenger 1
patient 1
pays 1
pelted 1
penny 2
people 1
perhaps 1
person 1
pester 1
picking 1
plagued 1
platform 1
play 3
playing 1
point 1
pointing 1
poorer 1
porter 1
posture 1
potentially 1
preachers 1
precipice 1
pressed 2
prevaricates 1
previously 1
primarily 1
problem 1
problems 1
proceeding 1
promise 1
pros 1
protestant 1
pulled 1
pulls 1
pushed 1
pushes 1
question 2
questions 2
quips 1
racecourse 1
railwaycarriage 1
rain 3
raiseth 1
rather 3
reaching 1
reaction 1
reading 1
realise 1
realising 1
realized 1
really 3
rear 1
reason 2
recording 1
referred 1
refers 1
refusal 1
refuses 2
relating 1
relative 1
relatives 2
reluctance 1
remarks 1
reminds 2
renamed 1
rendered 1
replied 1
resist 1
restrain 1
retirement 1
retiring 1
return 2
returns 1
revelation 1
revolver 1
rheumatism 1
ride 1
rides 1
ringing 1
road 1
rooney 4
rooneys 1
ruby 1
runs 1
rural 1
said 2
same 1
saturday 1
saved 1
say 1
says 4
scene 2
schuberts 2
secrets 1
section 3
see 3
selfrighteous 1
sell 1
septuagenarian 1
sermon 1
serves 1
shakes 1
she 29
shes 1
shifts 1
shortly 3
should 1
shows 1
silence 1
simply 1
