4038449
/m/0bdx4q
/m/0bdx4q
Nancy Farmer
1994-04
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
214 1
a 13
abilities 1
about 1
adventure 1
african 1
after 1
again 1
against 1
aims 1
all 1
among 1
an 1
and 18
are 5
arm 5
arms 1
arrive 1
as 1
attempt 1
banished 1
battle 1
been 2
before 1
between 1
bighead 1
bores 1
borrowdale 1
busy 1
but 2
by 3
called 1
can 1
captures 1
care 1
catch 1
chickenpox 1
chief 1
children 10
combat 1
conflict 1
country 1
cow 1
created 1
crime 1
crushes 1
culture 1
dangerous 1
dead 1
destroy 1
destroyed 1
detectives 1
diners 1
discovers 1
downstairs 1
ear 2
efforts 1
elephant 3
embassy 1
empathic 1
end 1
english 1
enlist 1
ensure 1
equally 1
escape 2
evaded 1
eventually 1
extremely 2
eye 2
feel 1
feelings 1
finally 1
find 2
for 1
fortified 1
freedom 1
friends 1
from 3
function 1
gang 2
gangs 1
general 4
gods 1
going 1
gondwannan 1
good 1
group 1
guts 1
had 1
has 4
have 4
he 1
headquarters 1
hearing 1
help 2
helps 2
her 1
him 1
his 3
holding 1
holy 1
horsepoolworthingham 1
house 1
houses 1
in 6
independent 1
into 2
is 7
kept 1
kidnapped 1
kill 1
knocked 1
kuda 1
lair 1
lairs 1
land 1
leads 1
led 1
legendary 1
legs 1
like 1
long 1
macilwaine 1
make 1
man 1
mansion 1
many 1
mask 2
masks 5
matsika 5
mbare 1
meanwhile 1
mellower 3
messenger 1
mhondoro 3
milehigh 1
mines 1
more 1
mother 2
mrs 2
musika 1
mutant 1
nation 1
need 1
of 10
one 1
other 1
others 1
out 1
parents 2
people 2
planning 1
plastic 1
poor 1
possessed 1
powerful 2
powers 1
psychic 1
ransom 1
real 1
realizes 2
redistributed 1
restaurant 1
resthaven 2
retain 1
retainer 1
revives 1
rita 1
sacrifice 1
secret 1
security 2
see 1
seeking 1
sell 1
sense 1
sensitive 2
she 3
siblings 1
skyscraper 1
slum 1
so 1
soon 1
souls 1
special 1
spider 1
spirit 1
staff 1
stolen 1
streets 1
suburb 1
take 1
taken 1
takes 2
temporarily 1
tendai 6
terrorize 1
that 3
the 50
their 2
them 5
themselves 2
then 1
there 1
they 6
this 1
three 2
to 16
traditional 1
tribe 1
up 1
very 1
vision 1
vlei 1
wealth 1
what 1
when 2
where 2
which 4
while 2
who 3
whose 1
with 1
within 1
woman 1
work 1
worried 1
would 1
year 1
zimbabwe 2
