461143
/m/02c9ng
/m/02c9ng
Fyodor Dostoyevsky

a 4
absurd 1
admiration 1
aleksandr 2
all 1
also 1
and 7
at 1
been 1
belong 1
both 1
camp 1
concludes 1
convicts 1
corporal 1
culminates 1
deportation 1
dostoyevsky 1
energy 1
existence 1
expresses 1
fact 1
fellow 1
for 5
from 1
gentleman 1
goryanchikov 2
gradually 1
great 1
hard 2
has 1
he 2
his 4
humanity 1
in 1
ingenuity 1
inmates 1
is 4
it 1
its 1
itself 1
labour 1
life 1
malice 1
narrator 1
nearly 1
of 6
other 1
overcomes 1
particularly 1
peasantry 1
penalty 1
petrovich 2
plight 1
portrays 1
practices 1
prison 3
prisoners 2
punishments 1
reawakening 1
release 1
revulsion 1
russia 1
savage 1
sentenced 1
siberia 1
since 1
situation 1
spiritual 1
suffers 1
sympathy 1
talent 1
ten 1
that 2
the 10
their 2
to 3
tragic 1
undergoing 1
whom 1
with 3
work 1
years 1
