3254026
/m/091gg8
/m/091gg8
Patricia Highsmith
1980-04
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
16yearold 1
a 16
accompanies 1
actually 1
advice 1
after 2
again 1
agrees 1
also 1
amateur 1
american 2
amount 1
and 11
apartment 1
appointed 1
approaches 1
are 1
area 1
arranges 1
as 4
asking 1
at 1
back 2
bar 1
believes 1
belle 1
berlin 3
besides 1
billy 2
boy 3
but 1
by 6
calling 1
cliff 1
coaching 1
commissions 1
commits 1
communicates 1
confesses 1
crime 1
dashing 1
death 1
deceased 1
deliberately 1
despite 1
detective 1
did 1
discovers 1
dispatches 1
drag 1
dressing 1
drive 1
dropoff 1
emptyhanded 1
encourages 1
ending 1
england 1
erstwhile 1
eventually 1
fact 1
false 1
family 4
father 2
flat 1
fled 1
follows 1
for 4
former 1
frank 8
friend 1
from 2
further 1
gardening 1
gay 1
germany 1
girl 1
give 1
guest 1
guilt 1
has 2
he 10
him 5
himself 2
his 6
hostage 1
identifies 1
impulsively 1
in 9
increases 1
infiltrates 1
interest 1
into 1
investigation 1
is 3
it 1
job 1
keeping 1
kidnapped 1
kidnappers 2
kills 1
kind 1
kindred 1
learning 1
leave 1
love 1
memento 1
minot 1
money 2
much 1
murder 1
named 1
new 1
newspaper 1
now 1
of 8
off 2
ombre 1
one 1
other 1
out 2
over 1
overwhelmed 1
own 2
paris 1
partner 1
passport 1
pierson 4
piersons 1
point 1
possession 1
precipice 1
private 1
pushed 1
pushing 1
puts 1
questionable 1
ransom 1
reassurances 1
recently 1
recognizes 2
reeves 1
rendezvous 1
reputation 1
rescues 1
return 1
returns 2
reveals 1
ripley 12
room 1
saddened 1
same 1
scares 1
securing 1
semiconscious 1
sent 1
shaken 1
singlehandedly 1
small 1
son 1
soon 1
sought 1
spirit 1
states 1
stay 1
strolling 1
suicide 1
surprise 1
takes 1
teenaged 1
teresa 1
that 4
the 23
them 1
then 1
there 1
thereby 1
they 3
three 1
through 1
throwing 1
thugs 1
to 12
tom 1
travel 1
tycoon 1
united 1
unrequited 1
up 2
village 1
well 1
west 2
wheelchairconfined 1
where 3
which 2
while 1
who 2
wire 1
with 4
wooded 1
work 1
young 1
youth 1
