4905682
/m/0cthrg
/m/0cthrg
Joe Dever
1991
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 2
abducted 1
after 1
and 2
are 1
attempt 1
band 1
banedon 2
be 1
been 1
before 1
by 1
can 1
command 1
coveted 1
dark 1
demise 1
events 1
extract 1
friend 1
giaks 1
guildmaster 1
has 1
he 1
held 1
him 1
his 2
is 2
it 1
kaag 1
learns 1
lefthanded 1
lone 2
lords 1
magic 1
magical 2
meets 1
months 1
must 1
nadziranim 1
of 5
or 1
own 1
plague 1
planning 1
reader 1
rescue 1
ruel 1
secrets 1
sorcerers 1
sorcery 1
techniques 1
that 2
the 5
their 1
theorized 1
they 1
three 1
to 3
torture 1
under 1
united 1
venture 1
where 1
which 1
with 1
wolf 2
worse 1
yields 1
