19350902
/m/04mz1gd
/m/04mz1gd
Laurel Snyder
2008-08
a 3
about 1
adventure 1
an 1
and 4
anything 1
because 1
being 1
berrypicking 1
best 1
bewilderness 1
called 1
can 1
climb 1
come 1
countryside 1
courage 1
dairy 1
decides 1
doesnt 2
exploring 1
family 1
farm 1
father 3
find 1
finding 1
fit 1
follow 1
friend 1
from 1
gets 1
gives 1
go 1
going 1
has 1
he 2
helps 1
her 8
his 2
how 1
in 2
includes 1
is 2
land 1
learned 1
likes 1
lives 1
lucy 4
make 1
makes 1
mother 4
mountains 1
never 1
of 2
old 1
on 1
one 1
parties 1
practice 1
prince 1
princess 1
raises 1
rules 1
sad 2
same 1
say 1
scratchy 1
she 6
should 1
sister 1
situation 1
so 1
songs 2
spirits 1
that 3
the 5
their 3
thinks 1
thistle 1
to 5
turns 1
twelve 1
two 1
understand 1
up 2
vanished 1
village 1
was 1
when 3
which 2
why 1
with 4
wynston 4
years 1
