3433040
/m/09c55p
/m/09c55p
Charles Dickens
1859
{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
14 1
16 1
178 1
2 1
3 1
34a 1
34as 1
34drive 1
34embrace 1
34i 2
34in 1
34little 2
34one 1
34other34 1
34them 1
34unnamed 1
a 47
able 3
about 2
above 1
abyss 1
accepted 1
account 1
acquitted 1
actual 1
actually 1
adopted 1
after 5
again 2
against 1
aged 1
agrees 1
all 2
allowed 1
almost 1
already 1
also 2
amazed 1
ambitions 1
america 1
an 9
and 84
angers 1
anglicised 1
anniversary 1
another 1
antoine 1
any 2
anywhere 1
apart 1
appears 1
approached 1
are 7
aristocrat 1
armed 1
arrested 1
arrival 2
arriving 1
as 16
asked 2
asks 1
at 9
attempts 2
away 2
awed 1
baby 1
bachelor 1
back 4
bailey 2
band 1
barrister 1
barsad 6
bastille 4
be 10
bears 1
beautiful 1
because 3
become 2
becomes 2
bed 1
been 2
before 4
begin 2
being 2
believes 1
bench 1
bent 1
better 3
between 1
beyond 1
birth 1
blackmailing 1
blots 1
blue 1
board 1
book 3
bore 1
born 1
bosom 2
both 1
boy 1
bribe 1
brilliant 1
bringing 1
british 3
briton 1
brother 2
brothers 1
brought 2
business34 1
but 11
by 15
called 1
can 3
care 1
carriage 2
carried 1
carries 1
carton 18
carton3s 5
catch 1
caught 1
cause 1
cease 1
cell 2
chapter 2
charges 1
charles 4
charles3 1
child 3
childhood 1
children 1
chteau 2
city 1
claim 1
claims 1
clandestine 1
close 3
cly 1
coach 4
codename 1
coin 2
colour 1
come 2
comforts 2
compares 1
compensate 1
conciergerie 1
concludes 2
condemn 1
condemnation 1
condemned 2
condemning 1
confesses 1
confronted 1
confronts 1
could 1
courage 1
course 1
court 1
crimes 1
cruel 1
cruncher 1
dark 1
darnay 31
darnay3s 6
darnaycome 1
darnays 1
daughter 3
daulnais 1
day 4
day3s 1
deaf 1
dear 1
death 4
decided 1
decides 1
defarge 18
defarge3s 2
defarges 3
defarges3 2
defeats 1
defending 1
deference 1
demonstrates 1
denounced 1
descendants 2
describes 1
despised 1
despite 1
destroy 1
destruction 1
detail 2
dickens 1
did 1
died 2
dies 2
differences 1
discover 1
discovered 1
discovers 1
disfigurementand 1
disgust 1
do 1
doctor 3
does 5
dogs 1
done 3
down 1
dr 17
drew 1
drives 1
drugs 1
dying 1
each 3
earlier 3
earthly 1
emigrated 1
ends 1
enemy 1
england 3
english 1
enraging 1
enriching 1
entered 1
enters 1
errand 1
escape 1
even 2
evening 1
eventually 1
ever 2
evil 1
evrmonde 4
evrmondes 2
executed 2
expiation 1
explains 1
eye 1
faded 1
failed 1
fair 1
faithful 1
falsely 1
faltering 1
family 15
far 4
fast 1
father 3
favourite 1
fear 1
filled34 1
finally 1
finds 1
first 4
fishing 1
five 2
flee 2
followed 1
following 3
for 22
force 1
forehead 1
foremost 1
form 1
former 2
forward 1
found 2
fountain 1
frame 2
france 3
free 3
french 5
friend 3
from 9
further 1
gain 1
gaspard 5
gave 1
generations 1
gets 1
getting 1
girl 1
give 2
go 2
goes 2
golden 2
gone 1
good 1
gradually 1
greatly 1
group 1
guillotine 1
guillotined 1
guillotining 1
had 10
hair 2
hand 2
hanged 1
happy 1
has 8
hated 1
have 6
he 24
healing 1
hear 1
heartless 1
hearts 2
heir 1
held 1
help 1
hence 1
her 25
hero 1
hidden 2
him 19
his 42
hits 1
hold 1
home 1
honeymoon 1
honour 1
honoured 2
hoping 1
horrified 2
how 1
however 2
hundred 1
husband 2
i 24
identical 2
identification 1
identifies 2
identify 1
identity 2
ie 1
if 1
ignoredhe 1
illegal 1
illustrious 1
implements 1
imprisoned 4
imprisonment 3
in 39
incarcerated 1
incarceration 1
incident 2
infatuated 1
information 2
instinctively 1
instructions 1
instrument 1
insufferable 1
intentions 2
into 2
is 43
it 12
its 2
itself 1
jacobins 1
jacques 1
jacques34 1
jarvis 1
jerry 1
john 2
judges 1
july 1
just 1
keep 2
kept 2
kidnapped 1
killed 1
killing 1
kills 2
knife 1
know 5
knowing 1
known 1
la 1
land 1
last 5
lasting 1
later 2
lay 2
lead 2
learned 1
leaves 1
letter 3
lieutenant 1
life 3
