31710168
/m/0gmh1xq
/m/0gmh1xq
Damon Knight
1965
2521 1
a 6
after 1
alien 1
an 2
and 3
are 1
as 2
between 1
but 1
by 2
civilization 1
clandestine 1
conflict 1
conquering 1
contemptuous 1
dealings 1
decadent 1
discovered 1
disguised 1
dominant 1
earth 4
earthman 1
empire 2
encounters 1
enlists 1
follows 1
fringes 1
galactic 1
given 1
good 1
group 1
harassment 1
has 1
have 1
he 2
help 1
human 1
humans 1
in 2
infiltration 1
is 5
it 1
latest 1
locating 1
loyal 1
managed 1
native 1
of 10
officer 1
on 2
one 1
only 1
or 1
ossified 1
other 1
outsider 1
place 2
planet 1
policy 1
power 1
primary 1
protocols 1
races 1
remaining 1
remains 1
rigidly 1
rithian 1
rithians 4
ruthlessly 1
security 1
sees 1
some 1
source 1
spangler 1
spies 1
story 1
takes 1
task 1
tension 1
the 19
these 1
thorne 1
time 1
to 2
two 1
uncivilized 1
undermining 1
what 1
which 2
who 2
with 2
year 1
years 1
