3740598
/m/09yfh6
/m/09yfh6
Carlo Goldoni


a 4
all 1
allow 1
allowed 1
almost 1
along 1
always 2
among 1
an 2
and 14
another 2
anything 1
appearances 1
are 2
around 1
arouses 1
as 6
asks 1
at 2
aware 1
banquet 1
be 1
beatrice 8
because 1
become 1
becoming 1
beloved 1
betrothed 1
both 2
brother 5
but 1
by 1
can 2
cat 1
causes 1
central 1
characters 1
clarice 4
collect 1
comical 1
complaining 1
complicate 1
conceal 1
dead 3
decided 1
defending 1
desperately 1
develop 1
died 1
dinner 1
discussion 1
disguised 1
disguises 1
dowry 1
each 3
eating 1
eats 1
either 1
empty 1
end 1
engaged 1
entourages 1
escape 1
especially 1
etc 1
everyone 1
everything 1
exceptionally 1
existence 1
exposed 1
exposes 1
extra 1
fallen 1
famous 2
father 1
federigo 1
feisty 1
figure 1
fill 1
finally 2
find 1
florindo 5
for 4
forbade 1
forgiven 1
from 2
further 1
get 2
group 1
hand 1
happens 1
has 3
have 1
having 1
he 5
help 2
her 7
herself 1
him 4
his 5
honor 1
hotel 1
however 1
hunger 2
implied 1
in 8
interested 1
introduction 1
is 10
it 2
itself 1
just 1
keeping 1
killed 1
last 2
letters 1
love 1
lover 2
make 1
man 2
married 2
marry 3
master 2
masters 3
matter 1
matters 2
money 3
more 1
most 1
of 11
one 2
only 1
opens 1
opportunity 2
orders 1
other 5
own 1
pantalone 3
play 3
played 1
presents 1
problems 1
quirky 1
repeatedly 1
runs 1
same 2
satisfy 2
say 1
scene 2
search 1
searching 1
sees 1
servant 3
serve 1
setpiece 1
several 1
she 1
sides 1
sight 1
silvio 2
simply 1
sister 1
smeraldina 3
smitten 1
so 1
specifying 1
starving 1
staying 1
stomach 1
stress 1
stutter 1
suspicion 1
temporary 1
that 3
the 24
them 1
thinking 1
this 3
time 1
times 1
to 20
traveled 1
tries 2
truffaldino 8
trying 3
two 2
uncovered 1
up 2
use 1
venice 2
wants 1
was 1
wed 1
when 1
whether 1
which 4
while 1
who 3
with 5
without 2
woman 2
worse 1
your 1
