1257960
/m/04mtfw
/m/04mtfw
Michael Crichton
2004-12-07
10 1
2004 1
6 1
a 32
about 3
accepts 1
access 1
accident 1
accompanied 1
accuses 1
act 1
action 2
actions 1
activism 1
activities 1
activity 1
actor 1
acts 1
advance 1
affairs 1
after 7
agency 1
agenda 1
agents 1
all 3
allowed 1
almost 1
along 2
also 6
although 1
amount 1
amounts 1
an 9
and 31
angeles 3
ann 1
announces 1
antarctic 1
antarctica 1
anyone 1
appear 1
are 7
around 1
arrive 1
as 9
assassinate 1
assassination 1
assistant 1
associate 1
at 7
attempt 1
attempting 2
attempts 1
attractive 1
attractors 1
australian 1
averaging 1
backwash 1
banquet 1
battle 1
be 9
beautiful 1
beauty 1
because 4
becomes 1
becoming 1
been 1
begins 1
behalf 1
behest 2
behind 1
being 2
between 1
biggest 1
blueringed 1
both 1
bradley 2
bravado 1
built 1
business 1
but 4
by 11
california 3
cannibalistic 1
cant 1
car 1
catastrophe 3
cause 1
caused 1
causes 2
celebrity 1
challenged 1
chief 1
circumstances 1
citing 1
citizen 1
claims 1
class 1
client 2
clients 2
climate 2
coastline 1
collapsed 1
concerned 1
conference 2
conflicts 1
confrontation 1
confused 1
continue 1
contract 1
contributions 1
conventional 1
convictions 2
convince 1
cope 1
corporate 1
could 1
council 1
create 3
crocodiles 1
crowded 1
curb 1
dangers 1
data 1
days 1
de 1
death 2
defense 2
demeanor 1
described 2
destruction 1
detonation 1
dies 1
directing 1
director 1
disaster 1
disasters 4
disbands 1
discovers 2
discredit 1
discusses 1
disease 1
diverting 1
donate 1
donates 1
donations 1
doomed 1
drag 1
drake 9
dramatize 1
driving 1
drunk 1
due 1
during 4
duties 1
eagerly 1
earmarked 1
earns 1
earth 1
ecoterrorist 1
ecoterrorists 2
elaborate 1
electrical 1
electrocuted 1
elf 11
elite 1
enamored 1
endorser 1
ends 1
enforcement 1
enormous 1
enough 1
environmental 4
environmentalist 4
environmentallyminded 1
epa 1
escapes 1
evans 21
event 1
events 1
evidence 1
except 1
explosives 1
fact 1
faked 1
fear 1
feast 1
feels 1
feet 1
few 1
fictional 1
filament 1
final 2
finale 1
finds 2
firm 4
first 2
five 1
flight 1
flood 1
following 1
for 11
force 1
form 1
francisco 1
free 1
from 6
front 2
fullsize 1
fund 1
funding 2
funds 2
further 3
garner 1
garnering 1
george 1
get 1
gets 1
given 1
gives 1
giving 1
global 9
globespanning 1
go 1
group 7
grows 1
had 3
happen 1
happening 1
has 7
have 3
having 1
haynes 2
he 14
her 2
herself 1
highlight 1
him 5
his 17
holds 1
honor 1
hopes 1
hospitals 1
how 1
human 1
ice 1
iceberg 1
idea 1
if 1
in 22
inaction 1
increase 1
industry 2
initiated 1
insignificant 1
instructions 1
interest 1
international 2
interviewee 1
interviewer 1
intimidated 1
inundate 1
involvement 1
is 22
island 5
islanders 1
it 5
its 2
jennifer 2
jennifier 1
john 1
joins 1
jones 1
junior 1
just 3
keep 1
kenner 9
kill 2
killed 3
kills 1
know 1
labeled 1
lack 1
lacks 1
large 2
last 1
later 4
law 2
lawsuit 4
lawyer 1
league 1
leave 1
leg 1
legal 4
levels 1
liberation 2
life 1
lightning 2
locations 1
look 1
los 3
lukewarm 1
lung 1
made 1
main 2
major 1
makes 1
managing 1
maneating 1
manmade 1
manufacture 1
manufactured 1
many 3
may 3
men 1
methods 1
million 1
millionaire 1
missing 1
mistake 1
misused 1
mit 1
modeled 2
models 1
money 1
more 2
morton 19
most 2
motives 1
much 1
murder 1
mysterious 1
named 1
narrowly 1
nation 2
national 2
natural 4
nerf 10
nerfsponsored 1
never 2
new 2
next 1
nicholas 1
nick 1
niece 1
no 1
none 1
nonfictional 1
not 4
nrdc 1
numerous 1
observes 1
occasions 1
octopus 1
of 47
off 2
offices 1
on 15
one 1
ones 1
only 2
opportunities 1
organization 3
other 1
out 1
own 3
parallels 1
paralysis 1
park 1
parties 1
partners 1
pays 1
people 3
person 2
peter 1
philanthropist 1
piece 1
pieces 1
place 3
plan 1
planned 1
plight 1
plot 2
possesses 1
potential 1
practice 1
predict 1
preferred 1
prejury 1
preparing 2
present 1
presents 1
prevent 1
produce 1
promised 1
protagonist 1
protection 1
public 2
publicity 1
pulling 1
pulls 1
put 1
qualms 1
quitting 1
rambling 1
rare 1
reached 1
reaching 1
reams 1
recognize 1
regarding 1
relations 1
relationships 1
release 1
remote 1
represents 1
rescued 1
researchers 1
resistance 1
resource 1
resources 1
rest 2
resulting 1
resurfaces 1
return 1
reveals 2
rewrite 1
ride 1
rockets 1
ruthlessly 1
sabotage 1
sabotaged 1
same 1
san 1
sanjong 3
sarah 7
saves 1
schemes 1
science 1
sea 1
selection 1
selfconfidence 1
sent 1
series 1
several 3
shaken 1
she 3
shed 1
shelf 1
small 1
so 2
socialite 1
solomons 1
some 1
someone 1
something 1
soon 2
special 1
speech 2
spy 2
state 1
states 2
stop 1
storm 1
storms 1
story 2
strained 1
stunt 1
subplot 1
subtly 1
succeed 1
successfully 1
suggesting 1
suit 3
sums 1
support 1
supporters 1
surface 1
surrounding 1
suspect 1
suspicious 2
sydney 1
take 1
taken 1
takes 1
team 8
teams 1
technically 1
ted 2
terrorist 1
terrorists 1
thapa 3
that 19
the 93
their 7
them 1
then 1
therefore 1
these 2
they 6
this 2
thousands 1
three 1
throw 1
thwart 1
time 2
timed 1
to 46
token 1
too 1
trail 2
travel 1
travels 2
treat 1
tribesmen 1
tried 1
trip 2
trying 1
tsunami 4
turns 1
two 2
unable 1
under 1
underwater 1
united 2
unnamed 1
unquestioningly 1
up 2
use 2
vanuatu 1
vanutu 3
various 3
venom 1
ventures 1
victims 1
visit 1
visited 1
volunteers 1
waited 1
want 1
wanted 1
war 1
warming 9
was 4
watch 1
waves 1
way 2
weakwilled 2
wealthy 1
were 1
what 1
when 1
where 2
which 8
while 1
who 12
whom 1
will 9
winding 1
wire 1
wisdom 1
with 10
women 1
work 1
would 1
wrath 1
year 1
years 1
