4098609
/m/0bhxp6
/m/0bhxp6
Louis L'Amour
1984-05-01
{"/m/0hwxm": "Historical novel"}
a 50
abdullah 1
according 1
acquaintance 1
acrobats 1
across 2
additional 1
admitted 1
adopts 1
advice 1
advises 1
after 1
afterward 2
again 4
against 1
agrees 1
ahmed 2
aided 1
alamut 12
alchemist 2
alchemy 2
alive 2
along 2
alongside 1
also 2
although 1
alzawila 1
among 1
an 6
and 85
andronicus 3
anhilwara 1
another 3
any 1
approach 1
approaches 1
approaching 1
aqueduct 1
are 7
area 1
armed 1
armenia 1
armorer 1
around 1
arrange 1
arrive 2
as 13
asks 1
assassin 1
assisted 1
assists 2
at 5
attack 2
attains 1
attempted 1
avenging 1
aziza 3
back 3
bags 1
baltic 1
bardas 2
barely 1
baron 3
basra 1
battle 1
be 5
becomes 1
been 4
before 6
befriends 1
being 2
birthplace 1
black 3
blast 1
boat 3
boats 1
body 1
boiling 1
bombs 1
bonds 1
book 4
books 3
both 2
break 1
brittany 2
broaches 1
brought 4
brush 1
bug 1
burn 1
but 13
by 16
byzantium 1
camp 1
captive 1
captors 1
captured 1
captures 1
caravan 13
caravans 5
casting 1
castle 2
cdiz 1
chances 1
chancing 1
charcoal 1
chicheklaya 1
chinese 1
city 6
cloaks 1
closed 1
closely 1
clothed 1
clothing 1
coast 2
coins 2
come 1
comes 1
comnenus 1
companion 1
company 1
comtesse 1
confronted 2
connections 1
constantinople 3
contacting 1
contain 1
contrive 1
cooperate 1
copied 1
copy 1
copying 2
corridor 1
count 1
couple 1
covertly 1
crdoba 4
cross 1
crossing 1
crystals 1
cuts 1
dangerous 1
day 2
de 3
dead 4
death 1
decides 1
defenses 1
denied 1
desire 1
destroyed 1
details 1
determined 1
dinner 1
dnieper 1
does 2
down 3
dozen 2
draws 1
drink 1
drives 1
drops 1
duel 2
eager 1
east 1
eastward 3
emerge 1
emir 1
emperor 5
encounter 1
end 2
ends 1
enemy 2
engages 1
ensues 1
equipment 1
errand 1
escape 6
escaped 1
escapes 3
