957682
/m/03tb5c
/m/03tb5c
Steve White
1997-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
13 1
176 1
a 13
accidental 1
alive 1
all 1
alliance 2
alpha 1
also 1
alternative 1
ambush 1
and 20
another 1
arachnids 1
are 2
arms 1
as 3
associates 1
at 1
attempts 1
background 1
based 1
battle 1
behind 1
being 1
between 3
birdlike 1
bugs 7
by 3
centauri 1
centauroid 1
colonized 1
communication 1
conquered 2
consisting 1
consume 1
core 1
corporate 1
cosmopolitan 1
crusade 1
cultural 1
david 1
decades 1
derisively 1
detailed 2
develop 1
development 1
different 2
discovery 1
discussions 1
distant 1
doctrine 1
earth 1
editions 1
encounters 1
equal 1
ethnic 1
evolving 1
exist 1
existed 1
expanded 1
experienced 1
explored 2
fail 1
features 1
federation 1
felinoid 1
following 2
food 1
form 1
forms 1
fringe 1
from 2
further 1
future 1
galloway 1
genocidal 1
genocide 1
getting 1
gorm 2
grand 1
great 1
ground 1
groups 2
has 3
heinlein 1
helped 1
history 1
hivelike 1
human 1
humanity 2
identities 1
ie 1
in 6
indeed 1
inspired 1
insurrection 1
interpersonal 1
interstellar 1
intersteller 1
into 1
invasion 1
is 2
isws 1
it 1
later 1
left 1
life 2
like 2
likeminded 1
long 1
loss 1
lost 1
massive 1
material 1
members 1
military 1
monitor 1
mount 1
novel 4
novels 1
of 12
on 1
ongoing 1
ophiuchi 2
opportunity 1
or 1
orion 1
orions 3
other 1
peace 1
people 2
planets 1
point 1
points 1
prefer 1
prequel 1
preserve 1
previously 1
prey 1
pursuing 1
race 1
raise 1
ranches 1
referred 1
regard 1
relations 1
reveal 1
revealed 1
rigelians 1
robert 1
sameness 1
satellites 1
seeking 1
senior 1
sentient 1
sequences 1
series 2
set 1
seven 1
seventyyear 1
since 1
small 1
sources 1
space 3
species 4
squadron 2
star 1
starfire 1
starship 1
survey 2
survivors 1
tactical 1
tensions 1
terran 2
terrans 2
that 2
the 23
thebans 1
their 2
three 2
through 1
throughout 1
to 4
travel 1
travels 1
troopers 1
uncharted 1
universe 1
vacation 1
various 1
very 1
via 1
wargame 1
warlike 1
warp 2
wars 1
weber 2
which 2
white 1
with 3
worlds 4
written 1
