610437
/m/02w86p
/m/02w86p
Terry Pratchett
1992
a 22
about 2
abroad 2
after 1
again 1
agnes 1
alive 1
all 1
along 1
also 1
an 2
and 31
angers 1
animals 1
any 2
anyone 1
appears 1
archchancellor 1
are 7
areas 1
argument 1
armour 1
around 1
arranged 1
arrival 1
arrive 1
arrives 3
arrow 1
as 9
at 6
attacks 3
attempt 1
attention 1
attracts 1
away 2
back 3
barrier 3
based 1
be 4
beaten 1
because 2
become 1
becomes 1
bedroom 1
been 5
bees 4
begins 1
belief 1
believe 1
belonging 1
between 1
blower 1
body 1
borrow 1
borrowing 2
bound 1
break 1
broken 1
brought 1
bursar 1
but 5
by 17
called 4
captured 2
casanunda 2
castle 8
causes 1
certain 1
chance 1
chased 1
circle 12
circles 1
cleaner 1
coerce 1
collapse 1
collapses 1
come 1
contain 1
control 1
convince 1
cottage 1
crop 2
date 1
days 1
dead 1
defeat 1
defeated 1
definite 1
despite 1
details 1
diamanda 7
didnt 2
different 1
dinner 1
disclosed 1
discover 1
discovers 1
discworld 1
does 2
dogsbody 1
down 1
dozens 1
dress 1
dungeon 1
during 1
easily 1
edge 1
elderly 1
elf 11
elves 9
end 1
entertainment 3
escape 4
escaped 1
eventually 1
expensive 1
fact 1
fanfare 1
find 1
first 2
followed 2
following 1
for 4
former 1
found 1
from 7
garlick 1
gateway 2
general 1
genua 1
getting 1
girls 1
give 1
given 1
go 4
granny 17
grannys 1
greebo 1
ground 1
guard 1
guest 2
guests 1
happened 1
has 9
hate 1
having 1
he 7
help 2
her 17
him 1
hive 3
hold 1
home 1
however 2
husband 1
hwel 1
hypnosis 1
hypnotised 1
if 1
ignored 1
ignoring 2
ii 1
implied 1
in 15
including 2
indicates 1
informing 1
inside 1
intends 1
interest 1
into 3
involvement 1
involves 1
iron 5
is 16
it 5
just 2
keeping 1
kill 1
kind 1
king 1
knocked 1
known 1
ladies 1
lancrastrians 1
lancre 10
land 5
later 2
leaves 1
led 1
left 2
less 1
lessened 1
letter 3
librarian 1
life 1
limits 1
list 1
local 1
locked 1
look 1
lords 1
love 2
magic 2
magrat 11
make 1
makes 1
manages 1
marriage 1
married 2
marry 1
may 2
meets 1
met 1
midsummer 1
mind 4
moment 1
moves 1
much 1
mustrum 1
nanny 6
near 3
night 1
nitt 1
not 5
note 1
nursing 1
of 30
official 1
ogg 5
on 8
open 1
opposed 1
or 2
order 1
organise 1
other 1
out 2
over 1
overcome 1
own 1
parts 1
passing 1
passion 1
performed 1
picks 1
play 5
playwright 1
point 1
ponder 1
potent 1
power 1
practising 1
preventing 1
previous 1
prior 1
private 1
privy 1
prone 1
pull 1
put 2
queen 9
queentobe 1
question 1
read 1
real 1
really 1
reasons 1
recognised 1
relationship 1
released 1
remaining 1
ridcully 1
room 1
rule 1
runs 1
rush 1
safe 1
same 1
scandal 1
see 3
seems 1
shawn 1
she 10
shorttempered 1
shot 1
should 1
since 4
single 1
so 1
some 1
sort 1
splitting 1
stage 1
staged 1
stibbons 1
still 1
stone 7
stones 2
stonetipped 1
stop 2
story 2
strong 1
successfully 1
such 1
sufficient 1
suit 1
surprises 1
surrounded 1
swarm 1
take 2
taken 2
taming 1
task 1
that 11
the 86
their 4
them 3
then 1
there 1
these 1
they 10
things 2
think 1
this 4
though 1
three 2
through 3
time 4
times 1
to 37
tockley 2
too 1
touch 1
transpires 1
try 1
two 4
understanding 1
unexpectedly 1
university 1
unseen 1
up 3
upon 1
urging 1
using 1
usually 1
vanish 1
verence 6
vole 1
want 2
was 5
way 2
weatherwax 5
wedding 5
well 2
were 2
what 1
when 1
where 3
whereon 1
which 7
whilst 2
whisked 1
who 7
whole 1
whom 3
will 2
window 1
witch 2
witchcraft 1
witches 6
with 5
without 1
women 1
would 2
writes 1
written 1
yet 1
ynci 1
young 2
younger 1
your 1
