20419935
/m/05241w0
/m/05241w0
Ralph Fletcher
2001-04-01
{"/m/03mfnf": "Young adult literature"}
a 5
abandoned 1
absence 1
after 1
and 4
apart 1
attack 1
back 1
becomes 1
boy 1
come 2
daddy 3
does 1
fairly 1
family 1
fatal 1
father 3
for 1
get 1
goes 1
he 1
heart 1
his 4
in 1
is 2
life 1
living 1
mother 1
moves 1
near 1
nine 1
not 1
of 1
old 2
out 1
parents 1
pizza 1
return 1
returns 1
rivers 4
six 1
son 2
suffers 1
support 1
tear 1
the 3
threatens 1
three 1
to 3
together 1
typical 1
uncle 4
until 1
when 2
wife 1
year 2
years 1
