7911625
/m/026jr2v
/m/026jr2v
Anne McCaffrey
1988-11
a 4
ability 1
admiral 1
adopted 1
after 1
agrarianbased 1
an 2
and 6
appear 1
appearednbsp 1
are 1
arriving 1
as 4
become 1
behind 1
benden 1
bioengineer 1
blossom 1
boll 1
bond 1
book 1
by 2
colonists 4
colonistsseeking 1
colony 1
connell 1
created 1
designed 1
destruction 1
dragonets 1
dragonriders 1
emily 1
end 1
ensure 1
few 1
first 1
geneticist 1
going 1
governor 1
granddaughter 1
had 1
hanrahan 1
have 2
her 1
however 1
humans 1
imminent 1
in 1
instinctively 1
its 1
kitti 1
leave 1
life 1
lifeforms 1
may 1
new 2
newly 1
of 5
on 1
order 1
other 1
out 2
paradise 1
paul 1
pern 2
pernese 1
pets 1
ping 1
place 1
planet 2
possible 1
react 1
recent 1
reduce 1
rest 1
return 1
rogue 1
running 1
sean 1
seemed 1
selected 1
set 1
shortly 1
simpler 1
sorka 1
species 1
survival 1
that 2
the 15
their 1
they 2
thread 1
threadnbsp 1
threat 2
time 1
to 10
troubles 1
wars 1
way 1
well 1
wind 1
with 3
young 1
yung 1
