11819121
/m/02rtjn5
/m/02rtjn5
Julia Golding
2006
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
11yearold 1
a 6
able 1
about 2
actual 1
also 1
amazing 1
an 2
and 7
animals 1
are 1
army 1
as 1
aunt 2
be 1
being 1
belonging 1
britain 1
but 2
by 2
can 1
care 1
comfortable 1
communicate 1
connie 3
conversationally 1
create 1
creatures 4
danger 1
discovers 3
discovery 1
earth 1
eradicate 1
evelyn 1
evil 1
exposure 1
feels 1
fictional 1
for 1
force 1
friends 1
from 2
gathering 1
get 1
great 1
hampered 1
has 3
have 1
her 4
here 1
hescombe 1
hidden 1
how 1
humans 2
in 5
is 6
know 1
kullervo 1
left 1
lionheart 1
live 1
meet 1
mythical 2
new 1
not 2
now 1
of 8
on 1
parents 1
part 1
place 2
power 2
powerful 1
presumed 1
protection 1
protects 1
really 1
reclaim 1
regions 1
save 1
seaside 1
secret 1
sense 2
she 5
sirens 1
society 3
southern 1
special 1
story 2
takes 1
that 4
the 11
their 2
them 2
they 3
threat 1
to 8
together 1
town 1
try 1
want 2
we 1
who 3
with 3
world 1
