18586828
/m/04g1p59
/m/04g1p59
Chris Kuzneski
2006
a 1
ages 1
all 1
an 1
and 4
archeologist 1
are 2
avoids 1
boyd 2
but 1
catacombs 1
charles 1
christ 1
common 1
crucified 1
david 1
day 1
dead 1
dj 1
dr 1
figure 1
final 1
find 1
for 1
found 1
haven 1
his 1
incidents 1
interconnected 1
its 1
jesus 1
jonathon 1
jones 2
like 1
middle 1
of 3
on 1
orvieto 1
out 1
payne 2
people 1
popes 1
pursuit 1
puzzle 1
recently 1
recruited 1
safe 1
selected 1
series 1
solve 1
the 7
they 1
thread 1
to 4
tortured 1
turn 1
up 2
victims 1
were 2
while 1
who 2
why 1
