1496344
/m/055y40
/m/055y40
Victor Hugo
1829

1th 1
a 1
after 1
and 4
awaiting 1
be 1
been 1
begs 1
betray 1
briefly 1
but 2
by 1
cell 2
century 1
change 1
cogitations 1
condemned 1
curses 1
daughter 1
day 1
dead 1
death 1
decapitation 1
describes 1
desperately 1
does 1
done 1
down 1
ends 1
everything 1
executed 1
execution 1
father 1
fears 1
feelings 1
for 3
france 1
from 1
guillotine 1
has 3
he 8
hears 1
her 1
him 2
hints 1
his 11
impatiently 1
imprisonment 1
in 3
is 2
just 1
killed 1
last 1
life 1
like 1
longer 1
looks 1
man 1
name 1
no 1
not 1
novel 1
of 3
on 1
or 1
outside 2
pardon 1
people 2
personality 1
priest 1
prison 3
psyche 1
reader 1
recognizes 1
screaming 1
sees 1
she 1
someone 1
spectacle 1
tells 1
that 2
the 12
though 1
threeyearold 1
throughout 1
time 2
to 4
traces 1
vaguely 1
visavis 1
what 2
while 1
who 1
world 1
writes 1
writing 1
