4124738
/m/0bkf3z
/m/0bkf3z
Louis Cha
1995-02-08
a 13
about 2
acknowledge 1
actually 1
admiration 1
affirming 1
after 4
again 1
agrees 1
aids 1
aims 1
alliance 1
also 1
ambushed 1
an 1
and 28
angry 1
annihilated 1
are 4
army 3
arrested 1
arrive 1
artefact 1
arts 1
as 4
assure 1
at 3
attempts 1
attracted 1
authority 1
aware 1
back 1
based 1
beauty 1
because 2
become 2
beijing 1
best 1
birth 2
book 1
braving 1
broken 1
brother 1
brought 1
but 3
by 4
capital 1
captured 1
central 1
chen 12
chief 1
china 2
chinese 2
coincidentally 1
come 1
commits 1
concubine 1
connections 1
contest 1
convoy 2
couples 1
danger 1
daughter 2
defeated 2
defeating 1
destroy 1
development 1
discover 1
discovers 1
disguised 1
doing 1
drive 1
dynasty 1
each 1
earns 1
emperor 10
encounter 1
entangled 1
eradicate 1
escorting 1
escorts 1
ethnicity 1
even 1
eventually 2
fact 1
falls 1
feelings 1
feels 1
fifteen 1
finally 1
find 1
finds 1
flower 2
follow 1
for 2
force 1
forced 1
fourth 1
fragrance 1
friends 2
friendship 1
from 1
group 1
han 2
hangzhou 2
has 2
have 1
he 9
help 1
her 2
heroes 6
him 5
himself 1
hired 1
his 8
holy 2
hostage 1
however 1
humiliated 1
huoqingtong 3
identities 1
in 8
infiltrates 1
influence 1
invades 1
is 14
islamic 3
jialuo 9
kasili 7
knows 1
later 2
leader 2
leaders 2
learn 1
led 1
lengthy 1
li 1
lives 1
love 2
man 1
manchu 1
manchuled 1
manchus 1
married 1
marry 1
martial 1
meet 1
meets 2
members 1
mercenaries 1
more 1
mostly 1
northwestern 1
not 1
oath 2
of 11
older 1
on 2
order 1
others 1
out 1
overthrow 1
pact 1
palace 2
paying 1
persuade 2
plains 1
plotting 1
princess 1
promise 1
pursuing 1
qi 1
qianlong 12
qing 3
quran 1
recovers 1
red 2
refrains 1
refuses 1
regions 1
reluctantly 1
remain 1
remind 1
renouncing 1
repeated 1
replaced 1
rescue 1
rescues 1
respect 1
respects 1
restore 1
return 1
reveals 1
rich 1
rights 1
robbed 1
romantic 1
rule 1
same 1
secret 2
secretly 1
she 2
shocked 1
shockingly 1
silence 1
sister 1
so 2
society 8
soldiers 1
some 2
still 1
storm 1
story 2
strike 1
strong 1
subplots 1
suggest 1
suicide 1
summon 1
suspicious 1
tailai 4
take 1
takes 1
that 8
the 45
their 4
them 2
then 1
there 2
they 5
throughout 1
tianhong 1
time 1
to 21
together 1
tomb 1
total 1
trail 1
travels 1
triangle 1
tribe 3
tribesmen 1
tries 1
truce 1
true 1
try 1
two 1
up 1
use 1
wants 2
warn 1
warriors 1
wary 1
was 1
wen 5
western 1
when 2
where 1
whilst 1
who 4
will 2
with 6
xu 1
yongzheng 1
younger 1
yu 1
yuanzhi 1
yutong 1
zhou 1
