19969253
/m/04yfr1t
/m/04yfr1t
Orhan Pamuk
1983
a 24
about 7
after 5
aims 1
all 3
also 1
america 1
an 6
and 24
angry 2
any 1
appears 1
approve 1
archive 2
are 3
around 2
arrival 1
arrive 1
arrives 1
artisans 1
as 3
associate 1
at 5
away 1
back 3
bad 1
badly 1
beach 1
beats 1
bed 3
been 2
behavior 1
behcet 1
behind 1
being 1
bey 3
big 1
body 1
book 1
breakfast 2
brothers 1
bruise 1
but 5
buys 1
buyukhanim 3
by 2
called 1
calls 1
cant 2
care 1
cennethisar 2
cerebral 1
ceylan 2
checks 1
childhood 1
cleaning 1
come 3
committee 1
communism 1
complete 1
concerned 1
conversation 1
court 1
cousin 1
cover 1
cries 1
crying 1
curiosity 1
day 4
days 1
decide 1
decision 1
defaming 1
depressed 1
dies 1
dinner 2
dishes 1
display 1
district 1
do 3
documents 1
does 9
doing 1
dont 1
down 2
downstairs 1
dr 1
dreams 1
drunk 1
during 2
ehr 1
either 1
eldest 1
encourage 1
enjoys 1
evening 1
every 1
everyday 1
everything 1
exact 1
examine 1
exile 2
face 1
falls 1
faruk 5
fascist 1
fatma 7
fear 1
feeding 1
feel 1
feeling 1
files 1
finds 1
finishing 1
five 1
follows 1
for 7
forced 1
free 1
friend 2
friends 3
from 5
front 1
fun 2
gebze 4
get 1
gets 2
getting 1
girl 2
go 8
goes 5
going 3
goodbye 2
government 1
grandchildren 5
grandmother 1
grave 1
group 2
hands 1
hanim 6
hanima 1
happened 1
has 6
hasan 7
he 20
head 1
help 1
hemorrhage 1
her 24
high 1
him 3
himself 1
his 6
historian 2
history 1
home 4
hospital 1
house 8
how 1
however 2
husband 1
if 1
in 20
insensitivity 1
interest 1
is 25
istanbul 3
it 2
job 1
join 1
know 1
lady 1
late 1
leaves 1
leaving 1
leftist 1
lie 1
lies 1
light 1
like 1
likes 1
listen 1
lives 1
lonely 1
long 1
looks 1
lot 1
love 1
loves 1
made 2
magazines 1
make 2
making 1
man 1
manikin 1
meanwhile 1
metin 5
mind 1
money 1
morning 4
name 1
narrators 1
nd 1
near 1
necatigil 1
needs 1
news 1
newspaper 2
newspapers 1
next 2
night 3
nilgun 11
not 8
novel 3
now 1
of 20
offended 1
old 3
on 11
once 1
one 2
ottoman 1
out 3
over 1
owner 1
part 1
party 1
past 2
people 1
pharmacy 2
plan 2
plans 1
plot 1
political 1
posters 1
pray 1
preparation 1
prepares 1
professor 1
progress 1
pulls 1
puts 1
reads 1
realizes 2
really 1
recep 7
related 1
remembers 1
republican 1
research 2
responsible 1
revolutionist 1
rich 2
rightwing 1
room 1
runs 1
say 2
school 1
selahattin 3
she 21
shed 1
shock 1
shopping 1
short 1
silence 1
silent 2
slogans 1
small 1
socialism 1
sociology 1
some 2
something 1
start 1
starts 4
station 1
street 1
streets 2
student 2
such 2
suddenly 1
summarizes 1
supposed 1
table 1
takes 1
taking 2
talk 4
tell 1
tells 4
terrorist 1
that 4
the 48
their 2
them 2
then 2
there 2
therefore 1
they 13
think 1
thinks 1
this 3
those 1
three 1
to 37
town 3
train 1
tries 1
union 1
university 1
upstairs 2
vedat 1
very 2
visit 1
waits 1
walk 1
walls 1
want 1
washing 1
way 1
week 1
well 1
what 3
when 2
where 1
which 3
while 3
who 2
whose 1
will 2
with 6
woman 2
work 1
worked 1
works 1
worse 1
write 1
you 1
young 1
youths 1
