17799952
/m/047brjg
/m/047brjg
Sharon Shinn
2007-10-18
{"/m/01hmnh": "Fantasy"}
a 3
aebrian 1
against 1
along 1
an 2
and 4
as 4
averie 1
becomes 1
begins 2
british 1
but 1
chiarrin 1
chiarrizi 1
class 1
colonial 2
colonized 1
culture 2
daughter 1
days 1
delves 1
depicted 1
descent 1
drawn 1
during 1
empire 1
era 1
ethics 1
father 1
finds 1
foreign 1
from 1
fussy 1
general 2
governance 1
her 4
herself 1
interesting 1
into 2
is 2
it 1
jalessa 1
land 1
life 1
marketplace 1
military 1
new 1
nonaerbrian 1
of 5
officer 1
opens 1
oversees 1
parallel 1
political 1
question 1
resistance 1
restraints 1
rhythms 1
rise 1
rough 1
rule 2
security 1
she 1
social 1
strains 1
sweep 1
tensions 1
the 7
threaten 1
thrilled 1
tighter 1
to 5
truly 1
visit 1
who 1
window 1
wisdom 1
woman 1
young 1
