18793334
/m/04gs25f
/m/04gs25f
Liz Kessler
2003
a 7
afraid 1
after 1
again 1
allows 1
and 6
another 1
are 1
become 3
best 1
boat 1
brought 1
but 1
by 1
carry 1
caught 1
chance 1
condition 1
convince 1
currently 1
daydream 1
deserted 1
discover 1
discovers 1
do 1
drive 1
emily 7
entire 1
everything 1
family 2
father 3
few 1
finds 1
follows 1
for 2
forget 1
friends 1
girl 1
girls 1
go 1
half 2
her 8
houseboat 1
how 1
human 2
husband 1
immersed 1
in 2
incidents 1
is 7
island 1
it 2
jake 1
king 1
know 1
later 1
leaves 1
legs 2
lessons 1
let 1
live 1
lives 1
love 1
makes 1
manages 2
marrying 1
mary 2
meets 1
memories 1
mer 1
mermaid 2
mother 3
must 1
mutual 1
name 1
near 1
neptune 3
not 1
of 4
on 3
one 1
out 1
penelope 1
plan 2
prison 2
quickly 1
regains 1
releases 1
repeatedly 1
requests 1
sake 1
save 1
sea 1
she 5
shocking 1
shona 1
spell 1
swimming 1
tail 1
that 2
the 9
their 2
them 1
they 4
to 6
together 1
trial 1
under 1
until 1
water 2
when 2
where 1
which 1
who 2
whose 1
windsnap 3
with 1
